rank,club,rating,link,gender,class,season
1,M&D 2024 Black,99.9,,girls,2024,2021
2,Mad Dog West Elite 2024,99.76,,girls,2024,2021
3,Monster National 2024 Purple,99.75,,girls,2024,2021
4,Sky Walkers 2024 Blue,99.66,,girls,2024,2021
5,LI Yellow Jackets Swarm 2024 Weiner,99.29,,girls,2024,2021
6,NEMS 2024,98.8,,girls,2024,2021
7,Hero's 2024 Green,98.65,,girls,2024,2021
8,STEPS Elite NJ 2024 Blue,98.63,,girls,2024,2021
9,CT Grizzlies 2024 Navy,98.29,,girls,2024,2021
10,Team 180 2024,97.98,,girls,2024,2021
11,Florida Select 2024,97.54,,girls,2024,2021
12,PLC 2024 Black,97.4,,girls,2024,2021
13,3D Colorado 2024,97.07,,girls,2024,2021
14,DEWLAX 2024 Black,96.55,,girls,2024,2021
15,Cavalier 2024,96.08,,girls,2024,2021
16,Integrity 2024,95.36,,girls,2024,2021
17,3D Colorado 2024 AA,95.31,,girls,2024,2021
18,LI Yellow Jackets 2024 Ramos,95.13,,girls,2024,2021
19,Monster Elite 2024,95.01,,girls,2024,2021
20,Capital 2024 Blue,94.89,,girls,2024,2021
21,Lax Maniax 2024 Black,94.88,,girls,2024,2021
22,Jersey Shore Select 2024 Blue,94.58,,girls,2024,2021
23,M&D 2024 Red,94.54,,girls,2024,2021
24,STEPS California 2024,94.53,,girls,2024,2021
25,Mass Elite 2024 Red,94.41,,girls,2024,2021
26,Team 91 Carolina 2024 Flight,94.16,,girls,2024,2021
27,ESLC Pirates 2024,94.13,,girls,2024,2021
28,Salt City Snipers 2024,94.11,,girls,2024,2021
29,MD United 2024 East,94.03,,girls,2024,2021
30,Renegades 2024,93.97,,girls,2024,2021
31,LI Legacy 2024 Blue,93.94,,girls,2024,2021
32,MFL 2024 Black,93.9,,girls,2024,2021
33,NewLax 2024,93.9,,girls,2024,2021
34,Big 4 HHH 2024,93.82,,girls,2024,2021
35,Southern Zone 2024,93.75,,girls,2024,2021
36,Pride 2024 Black,93.68,,girls,2024,2021
37,GC34 2024,93.65,,girls,2024,2021
38,Storm Select 2024,93.63,,girls,2024,2021
39,LI Yellow Jackets 2024 Kildare,93.59,,girls,2024,2021
40,M&D Orlando 2024 Black,93.58,,girls,2024,2021
41,South Jersey Select 2024 Pink,93.58,,girls,2024,2021
42,True Illinois U15 Premier,93.41,,girls,2024,2021
43,Predators 2024,93.35,,girls,2024,2021
44,Primetime 2024,93.27,,girls,2024,2021
45,BBL Elite 2024 Black,93.21,,girls,2024,2021
46,Aim 2024,93.18,,girls,2024,2021
47,Phantastix 2024 Purple,93.15,,girls,2024,2021
48,Atlanta Storm 2024 Blue,93.12,,girls,2024,2021
49,Relentless Hustle 2024,93.1,,girls,2024,2021
50,LI Liberty 2024 Black,92.99,,girls,2024,2021
51,Hero's 2024 White,92.95,,girls,2024,2021
52,Charlotte Style 2024,92.83,,girls,2024,2021
53,Yellow Jackets South 2024,92.83,,girls,2024,2021
54,TLC 2024 Red,92.77,,girls,2024,2021
55,Checkhers 2024,92.75,,girls,2024,2021
56,Coppermine 2024 Black,92.73,,girls,2024,2021
