rank,club,rating,link,gender,class,season
1,Team 91 Long Island 2024 Wolfpack,99.9,,boys,2024,2023
2,True Illinois 2024 Premier AA,99.19,,boys,2024,2023
3,Baltimore Crabs 2024,98.92,,boys,2024,2023
4,Carolina Miners 2024 Black,98.75,,boys,2024,2023
5,LI Legacy 2024 Taz,98.22,,boys,2024,2023
6,3D New England 2024 Red,98.21,,boys,2024,2023
7,Brotherly Love 2024 Mueller-Hercules,98.1,,boys,2024,2023
8,Annapolis Hawks 2024 Green,97.98,,boys,2024,2023
9,Next Level 2024 Blue,97.75,,boys,2024,2023
10,True National 2024 Black,97.5,,boys,2024,2023
11,Denver Elite 2024 Silver,97.48,,boys,2024,2023
12,Team 91 CO 2024 Turbo,97.46,,boys,2024,2023
13,Laxachusetts 2024 Black,97.16,,boys,2024,2023
14,Thunder 2024 Blue,96.66,,boys,2024,2023
15,Tri-State 2024,96.65,,boys,2024,2023
16,Primetime 2024,96.61,,boys,2024,2023
17,Mad Dog West Elite 2024 Black,96.51,,boys,2024,2023
18,Leading Edge 2024,96.5,,boys,2024,2023
19,FCA MD 2024 Blue,96.41,,boys,2024,2023
20,Team 91 South 2024,96.4,,boys,2024,2023
21,BBL Elite 2024 Black,96.35,,boys,2024,2023
22,West Coast Starz 2024 Gold,96.19,,boys,2024,2023
23,LI Express 2024 Schwalje,96.0,,boys,2024,2023
24,Team 91 Colorado 2024 Red,95.97,,boys,2024,2023
25,Team 91 Maryland 2024,95.83,,boys,2024,2023
26,Express North 2024 Black,95.73,,boys,2024,2023
27,4Leaf 2024 Army,95.72,,boys,2024,2023
28,Eclipse 2024 Black,95.61,,boys,2024,2023
29,ADVNC NDP NorCal 2024,95.44,,boys,2024,2023
30,Sweetlax 2024 Navy,95.37,,boys,2024,2023
31,NE Twisters 2024 Blue,95.35,,boys,2024,2023
32,True Baltimore 2024 Black,95.11,,boys,2024,2023
33,Resolute 2024 Black,95.02,,boys,2024,2023
34,Big 4 HHH 2024,95.01,,boys,2024,2023
35,Team 91 Charlotte 2024 Blue,94.99,,boys,2024,2023
36,Madlax Capital 2024,94.91,,boys,2024,2023
37,Shore2Shore 2024 Vikings,94.85,,boys,2024,2023
38,NH Tomahawks 2024 Purple,94.68,,boys,2024,2023
39,2Way 2024 Black,94.65,,boys,2024,2023
40,Philadelphia Freedom 2024 Red,94.62,,boys,2024,2023
41,Edge 2024,94.45,,boys,2024,2023
42,Duke's Elite 2024,94.37,,boys,2024,2023
43,Nationals Lacrosse Club 2024,94.36,,boys,2024,2023
44,RI Bulldogs 2024 Black,94.29,,boys,2024,2023
45,True MN 2024 AAA,94.2,,boys,2024,2023
46,Texas Nationals 2024,94.19,,boys,2024,2023
47,DC Express 2024 Black,94.07,,boys,2024,2023
48,CW Elite 2024,94.07,,boys,2024,2023
49,Juiced Cherries 2024,94.03,,boys,2024,2023
50,Legends National 2024,94.01,,boys,2024,2023
51,Sweetlax FL 2024,93.99,,boys,2024,2023
52,Fighting Clams 2024,93.98,,boys,2024,2023
53,Orange Crush 2024,93.91,,boys,2024,2023
54,ADVNC National 2024,93.9,,boys,2024,2023
55,Predators 2024,93.89,,boys,2024,2023
56,NE Blazers 2024,93.87,,boys,2024,2023
57,True National 2024 Green,93.55,,boys,2024,2023
58,NXT 2024 Mamba,93.45,,boys,2024,2023
59,Harvest 2024,93.43,,boys,2024,2023
60,Team Oregon 2024 AA,93.41,,boys,2024,2023
