rank,club,rating,link,gender,class,season,web_source
--,214LAX DALLAS 2026 VOLT,--,,girls,2026,2024,insidelacrosse
--,315 Elite 2026 Green,--,,girls,2026,2024,insidelacrosse
--,Common Goal 2026,--,,girls,2026,2024,insidelacrosse
--,3d New England 2026,--,,girls,2026,2024,insidelacrosse
--,3d Virginia Metro 2026 Navy,--,,girls,2026,2024,insidelacrosse
--,3Point 2026,--,,girls,2026,2024,insidelacrosse
--,518 Excelerate 2026,--,,girls,2026,2024,insidelacrosse
--,518 Excelerate 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,Aces Elite 2026,--,,girls,2026,2024,insidelacrosse
--,ADK Peak 2026,--,,girls,2026,2024,insidelacrosse
--,AFA 2026,--,,girls,2026,2024,insidelacrosse
--,All Lax Select 2026,--,,girls,2026,2024,insidelacrosse
--,AIM 2026,--,,girls,2026,2024,insidelacrosse
--,Alliance National 2026,--,,girls,2026,2024,insidelacrosse
--,Arc 2026,--,,girls,2026,2024,insidelacrosse
--,Atlanta Storm 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,Atlanta Storm 2026 Orange,--,,girls,2026,2024,insidelacrosse
--,Atlantic County Wave 2026,--,,girls,2026,2024,insidelacrosse
--,Atlantic Shore 2026/2027,--,,girls,2026,2024,insidelacrosse
--,B12 Girls LAX 2026,--,,girls,2026,2024,insidelacrosse
--,Bay State Bullets 2026 Silver,--,,girls,2026,2024,insidelacrosse
--,BBL Elite 2026 Black,--,,girls,2026,2024,insidelacrosse
--,BBL North 2026,--,,girls,2026,2024,insidelacrosse
--,Beast 2026,--,,girls,2026,2024,insidelacrosse
--,Belles 2026 Elite,--,,girls,2026,2024,insidelacrosse
--,Belles 2026 Select,--,,girls,2026,2024,insidelacrosse
--,Big 4 HHH 2026,--,,girls,2026,2024,insidelacrosse
--,Big Fish 2026/2027,--,,girls,2026,2024,insidelacrosse
--,Black Lax 2026,--,,girls,2026,2024,insidelacrosse
--,Bluegrass Premier Select 2026,--,,girls,2026,2024,insidelacrosse
--,Capital 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,Capital 2026 Orange,--,,girls,2026,2024,insidelacrosse
--,Cav Lax Elite 2026,--,,girls,2026,2024,insidelacrosse
--,CCLax 2026,--,,girls,2026,2024,insidelacrosse
--,CLC 2026 Bold,--,,girls,2026,2024,insidelacrosse
--,CLC 2026 Elite,--,,girls,2026,2024,insidelacrosse
--,CLC 2026 Pride,--,,girls,2026,2024,insidelacrosse
--,CLC 2026 Rise,--,,girls,2026,2024,insidelacrosse
--,Charlotte Style 2026,--,,girls,2026,2024,insidelacrosse
--,Check Hers 2026 Black,--,,girls,2026,2024,insidelacrosse
--,Check-Hers Elite 2026 Black,--,,girls,2026,2024,insidelacrosse
--,Coast 2026 Elite,--,,girls,2026,2024,insidelacrosse
--,Coastal Lacrosse Academy 2026,--,,girls,2026,2024,insidelacrosse
--,Coppermine 2026 Black,--,,girls,2026,2024,insidelacrosse
--,Coppermine North 2026,--,,girls,2026,2024,insidelacrosse
--,CT Grizzlies 2026 Navy,--,,girls,2026,2024,insidelacrosse
--,CT Grizzlies 2026 Yellow,--,,girls,2026,2024,insidelacrosse
--,CT Sharks 2026,--,,girls,2026,2024,insidelacrosse
--,Delco Elite 2026,--,,girls,2026,2024,insidelacrosse
--,Delco Select 2026,--,,girls,2026,2024,insidelacrosse
--,Denver Pride 2026,--,,girls,2026,2024,insidelacrosse
--,DEWLAX 2026 Black,--,,girls,2026,2024,insidelacrosse
--,DEWLAX 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,DEWLAX 2026 NAVY,--,,girls,2026,2024,insidelacrosse
--,DEWLAX 26 CT,--,,girls,2026,2024,insidelacrosse
--,Dynamite 2026,--,,girls,2026,2024,insidelacrosse
--,Dynasty Elite 2026 Camo,--,,girls,2026,2024,insidelacrosse
--,Dynasty Elite 2026 Charlie,--,,girls,2026,2024,insidelacrosse
--,Eagle Stix 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,Eagle Stix 2026 Grey,--,,girls,2026,2024,insidelacrosse
--,Eagle Stix 26 Pink,--,,girls,2026,2024,insidelacrosse
--,Empress 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,FCA 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,FCA MD 2026,--,,girls,2026,2024,insidelacrosse
--,FCA Upstate 2026,--,,girls,2026,2024,insidelacrosse
--,FLG 2026,--,,girls,2026,2024,insidelacrosse
--,FLG Blue Devils 2026-2027,--,,girls,2026,2024,insidelacrosse
--,Florida Select 2026,--,,girls,2026,2024,insidelacrosse
--,Florida Shine Elite 2026,--,,girls,2026,2024,insidelacrosse
--,Fusion Canada West 2026,--,,girls,2026,2024,insidelacrosse
--,GSE 2026,--,,girls,2026,2024,insidelacrosse
--,Gold Coast 2026 Black,--,,girls,2026,2024,insidelacrosse
--,Gold Coast 2026 Gold,--,,girls,2026,2024,insidelacrosse
--,Gold Coast 2026 White,--,,girls,2026,2024,insidelacrosse
--,Granite State Elite 2026,--,,girls,2026,2024,insidelacrosse
--,GRIT Austin 2026,--,,girls,2026,2024,insidelacrosse
--,GRIT Dallas 2026,--,,girls,2026,2024,insidelacrosse
--,GRIT Houston 2026,--,,girls,2026,2024,insidelacrosse
--,Hero's 2026 Green,--,,girls,2026,2024,insidelacrosse
--,Hero's 2026 White,--,,girls,2026,2024,insidelacrosse
--,HGR 2026,--,,girls,2026,2024,insidelacrosse
--,HoCo 2026 Black,--,,girls,2026,2024,insidelacrosse
--,HoCo 2026 Pink,--,,girls,2026,2024,insidelacrosse
--,House 2026,--,,girls,2026,2024,insidelacrosse
--,IL I.D. Glory,--,,girls,2026,2024,insidelacrosse
--,IL I.D. Hustle,--,,girls,2026,2024,insidelacrosse
--,IL I.D. Strength,--,,girls,2026,2024,insidelacrosse
--,IL I.D. Tenacity,--,,girls,2026,2024,insidelacrosse
--,Impact 2026,--,,girls,2026,2024,insidelacrosse
--,Indy United 2026,--,,girls,2026,2024,insidelacrosse
--,Integrity 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,Integrity 2026 Green,--,,girls,2026,2024,insidelacrosse
--,Jersey Shore Select 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,Jersey Shore Select 2026 White,--,,girls,2026,2024,insidelacrosse
--,Jersey Thunder 2026,--,,girls,2026,2024,insidelacrosse
--,LA Select 2026,--,,girls,2026,2024,insidelacrosse
--,Lacrosse Monkey 2026,--,,girls,2026,2024,insidelacrosse
--,Lake Murray Lacrosse Rapids Elite 2026,--,,girls,2026,2024,insidelacrosse
--,Lake Murray Rapids 2026/2027 Elite,--,,girls,2026,2024,insidelacrosse
--,Lakeshore 2026,--,,girls,2026,2024,insidelacrosse
--,Lakeside Lax 2026 Almanor,--,,girls,2026,2024,insidelacrosse
--,LANCO Elite 2026,--,,girls,2026,2024,insidelacrosse
--,Lax Maniax 2026 Black,--,,girls,2026,2024,insidelacrosse
--,Lax Maniax 2026 White,--,,girls,2026,2024,insidelacrosse
--,Lax on Elite 2026,--,,girls,2026,2024,insidelacrosse
--,Laxachusetts 2026 Black,--,,girls,2026,2024,insidelacrosse
--,Laxachusetts 2026 Navy,--,,girls,2026,2024,insidelacrosse
--,Laxachusetts 2026 Yellow,--,,girls,2026,2024,insidelacrosse
--,Legacy Georgia 2026,--,,girls,2026,2024,insidelacrosse
--,Legends MD 2026,--,,girls,2026,2024,insidelacrosse
--,LI Empire 2026,--,,girls,2026,2024,insidelacrosse
--,LI Jesters 2026 Black,--,,girls,2026,2024,insidelacrosse
--,LI Jesters 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,LI Jesters 2026 Pink,--,,girls,2026,2024,insidelacrosse
--,LI Legacy 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,LI Legacy 2026 White,--,,girls,2026,2024,insidelacrosse
--,LI Liberty 2026 Black,--,,girls,2026,2024,insidelacrosse
--,LI Top Guns 2026 Black,--,,girls,2026,2024,insidelacrosse
--,LI Top Guns 2026 Purple,--,,girls,2026,2024,insidelacrosse
--,Limitless 2026 Elite,--,,girls,2026,2024,insidelacrosse
--,Lotus 2026,--,,girls,2026,2024,insidelacrosse
--,Lucky Lax 2026,--,,girls,2026,2024,insidelacrosse
--,M&D 2026 Black,--,,girls,2026,2024,insidelacrosse
--,M&D 2026 Red,--,,girls,2026,2024,insidelacrosse
