Rank,Club,Rating,Link
1,3D New England 2024 Red,97.2,
2,True Illinois 2024 Premier AA,97.19,
3,Eclipse 2024 Black,96.62,
4,Baltimore Crabs 2024,96.61,
5,Denver Elite 2024 Silver,96.46,
6,LI Legacy 2024 Taz,96.3,
7,Team 91 Long Island 2024 Wolfpack,96.26,
8,Carolina Miners 2024,96.12,
9,Annapolis Hawks 2024 Green,96.07,
10,LI Express 2024 Schwalje,95.35,
11,Next Level 2024 Blue,95.35,
12,True National 2024 Black,95.15,
13,Brotherly Love 2024 Mueller-Hercules,95.07,
14,Team 91 South 2024,94.86,
15,Thunder National 2024,94.84,
16,Tri-State 2024,94.81,
17,Mad Dog West Elite 2024 Black,94.8,
18,Project Midwest 2024,94.72,
19,Leading Edge 2024,94.69,
20,West Coast Starz 2024 Gold,94.66,
21,Duke's Elite 2024,94.62,
22,Madlax Capital 2024,94.29,
23,Sweetlax Upstate 2024,94.18,
24,Primetime 2024,94.13,
25,Sweetlax 2024 Navy,94.13,
26,Evolve Elite 2024,93.94,
27,Madlax National 2024,93.79,
28,FCA MD 2024 Blue,93.77,
29,Sweetlax FL 2024,93.61,
30,NXT 2024 Mamba,93.59,
31,4Leaf 2024 Army,93.56,
32,BBL Elite 2024 Black,93.46,
33,Team 91 Maryland 2024,93.39,
34,Denver Elite 2024 Blue,93.35,
35,Laxachusetts 2024 Black,93.33,
36,Philadelphia Freedom 2024 Red,93.26,
37,NE Blazers 2024,93.24,
38,Express North 2024 Black,93.06,
39,2Way 2024,92.86,
40,Juiced Cherries 2024,92.85,
41,Orange Crush 2024,92.67,
42,Nation's Best 2024,92.58,
43,DC Express 2024 Black,92.5,
44,Thunder 2024 Blue,92.49,
45,Second City 2024 Gold,92.46,
46,Team 91 National 2024,92.42,
47,Texas Nationals 2024,92.42,
48,VLC 2024,92.4,
49,Nationals Lacrosse Club 2024,92.34,
50,CW Elite 2024,92.32,
51,Philadelphia Freedom 2024 White,92.07,
52,Team MN 2024,91.94,
53,Team MN 2024,91.92,
54,Edge 2024,91.84,
55,Team 91 Carolina 2024,91.79,
56,Shore2Shore 2024 Vikings,91.73,
57,Team 91 Charlotte 2024 Blue,91.72,
58,NE Raiders 2024,91.71,
59,Team 91 Colorado 2024 Red,91.69,
60,True MN 2024 AAA,91.57,
61,ADVNC San Francisco 2024,91.51,
62,1Lax Uncommon Fit Canada 2024,91.48,
63,Resolute 2024 Black,91.39,
64,Madlax Oregon 2024 AA,91.38,
65,FTK National 2023-2024,91.35,
66,Big 4 HHH 2024,91.34,
67,Team Oregon 2024,91.33,
