Rank,Club,Rating,Link
1,M&D 2024 Black,99.9,
2,CT Grizzlies 2024 Navy,99.67,
3,Sky Walkers 2024 Blue,98.77,
4,STEPS Elite NJ 2024 Blue,98.55,
5,LI Yellow Jackets Swarm 2024 Weiner,98.5,
6,Monster Elite 2024 Purple,98.11,
7,Hero's 2024 Green,97.91,
8,Capital 2024 Blue,97.77,
9,NEMS 2024,97.77,
10,Florida Select 2024,97.13,
11,Integrity 2024 Green,96.55,
12,Team 180 2024,96.23,
13,LI Legacy 2024 Blue,96.2,
14,Primetime 2024,96.08,
15,Big 4 HHH 2024,95.86,
16,DEWLAX 2024 Black,95.82,
17,Mass Elite 2024 Red,95.19,
18,Mad Dog West Elite 2024,95.12,
19,Cav Lax Elite 2024,95.11,
20,STEPS California 2024,95.02,
21,South Jersey Select 2024 Pink,95.0,
22,LI Yellow Jackets 2024 White,94.93,
23,Jersey Shore Select 2024 Blue,94.84,
24,Ultimate CC 2024 Blue,94.72,
25,LI Yellow Jackets 2024 Ramos,94.51,
26,LI Top Guns 2024 Black,94.48,
27,Salt City Snipers 2024,94.34,
28,Team 91 Carolina 2024 Flight,94.26,
29,M&D 2024 Red,94.07,
30,LI Liberty 2024 Black,93.9,
31,3D Colorado 2024 AA,93.76,
32,BBL Elite 2024 Black,93.64,
33,Storm Select 2024,93.58,
34,Phantastix 2024 Purple,93.51,
35,LI Yellow Jackets 2024 Kildare,93.46,
36,Aim 2024,93.38,
37,M&D Orlando 2024 Black,93.37,
38,LI Yellow Jackets 2024 Gold,93.3,
39,Pride 2024 Black,93.29,
40,Predators 2024,93.22,
41,No Excuse 2024,93.1,
42,Eagle Stix 2024 Blue,93.06,
43,Renegades 2024,92.94,
44,MD United 2024 East,92.85,
45,Check-Hers 2024 Black,92.71,
46,MFL 2024 Black,92.69,
47,Laxachusetts 2024 Black,92.63,
48,Sky Walkers 2024 White,92.59,
49,Lax Maniax 2024 Black,92.44,
50,TLC 2024 Red,92.41,
51,Tenacity 2024,92.38,
