index,team,record,rpi,projections,1st,2nd,3rd,sos,vs_1-5,vs_6-10,vs_11-20,vs_21+,gender,division
1,Tampa,14-1,0.7061,,0.9333,0.6591,0.573,1,0 - 1,2 - 0,4 - 0,8 - 0,boys,D2
2,Lenoir-Rhyne,12-1,0.6851,,0.9231,0.6295,0.5585,6,2 - 1,2 - 0,1 - 0,7 - 0,boys,D2
3,Adelphi,10-2,0.6835,,0.8333,0.6642,0.5724,5,1 - 1,2 - 1,1 - 0,6 - 0,boys,D2
4,Limestone,14-0,0.6707,,1.0,0.5649,0.553,10,1 - 0,1 - 0,2 - 0,10 - 0,boys,D2
5,Pace,10-1,0.6606,,0.9091,0.5788,0.5758,25,0 - 1,1 - 0,1 - 0,8 - 0,boys,D2
6,UIndy,10-3,0.6556,,0.7692,0.6613,0.5306,9,0 - 1,1 - 0,2 - 2,7 - 0,boys,D2
7,Mercy,10-1,0.6528,,0.9091,0.5785,0.545,22,0 - 1,1 - 0,3 - 0,6 - 0,boys,D2
8,Rollins,11-2,0.6436,,0.8462,0.5716,0.585,8,1 - 1,0 - 1,1 - 0,9 - 0,boys,D2
9,Bentley,6-4,0.6433,,0.6,0.712,0.5493,13,0 - 2,0 - 1,2 - 1,4 - 0,boys,D2
10,Wingate,9-4,0.6384,,0.6923,0.6531,0.555,2,0 - 3,0 - 0,3 - 1,6 - 0,boys,D2
11,Saint Anselm,8-1,0.6293,,0.8889,0.5156,0.5969,32,0 - 0,1 - 1,2 - 0,5 - 0,boys,D2
12,Mercyhurst,9-3,0.6166,,0.75,0.6005,0.5156,19,0 - 0,0 - 2,2 - 1,7 - 0,boys,D2
13,Maryville,9-3,0.6164,,0.75,0.5984,0.5188,26,0 - 0,0 - 1,0 - 1,9 - 1,boys,D2
14,Florida Southern,8-6,0.6091,,0.5714,0.6493,0.5664,3,0 - 2,1 - 1,0 - 0,7 - 3,boys,D2
15,Newberry,10-3,0.5961,,0.7692,0.538,0.5392,20,0 - 2,1 - 1,0 - 0,9 - 0,boys,D2
16,Rockhurst,9-2,0.5898,,0.8182,0.5178,0.5054,55,0 - 1,1 - 0,0 - 0,8 - 1,boys,D2
17,Frostburg,9-3,0.5873,,0.75,0.5508,0.4975,46,0 - 0,0 - 2,0 - 1,9 - 0,boys,D2
18,Seton Hill,8-4,0.586,,0.6667,0.5744,0.5286,28,0 - 1,0 - 2,0 - 1,8 - 0,boys,D2
19,Assumption,5-5,0.577,,0.5,0.6381,0.5317,26,0 - 2,0 - 1,0 - 1,5 - 1,boys,D2
20,Westminster (UT),9-2,0.5757,,0.8182,0.4902,0.5041,57,0 - 1,0 - 0,1 - 0,8 - 1,boys,D2
21,Colorado Mesa,8-4,0.5729,,0.6667,0.5618,0.5015,29,0 - 1,0 - 0,1 - 3,7 - 0,boys,D2
22,Lewis,10-3,0.5672,,0.7692,0.4889,0.5219,46,0 - 0,0 - 0,1 - 2,9 - 1,boys,D2
23,Wilmington,7-3,0.5632,,0.7,0.5415,0.4698,61,0 - 1,0 - 0,0 - 2,7 - 0,boys,D2
24,Florida Tech,5-7,0.5629,,0.4167,0.6385,0.5579,4,0 - 2,0 - 2,1 - 1,4 - 2,boys,D2
25,Saint Leo,7-5,0.551,,0.5833,0.5307,0.5592,16,0 - 2,0 - 0,1 - 1,6 - 2,boys,D2
26,Lander,9-4,0.5508,,0.6923,0.4998,0.5115,35,0 - 1,0 - 0,0 - 1,9 - 2,boys,D2
