index,team,record,rpi,projections,1st,2nd,3rd,sos,vs_1-5,vs_6-10,vs_11-20,vs_21+,gender,division
1,Middlebury,13-0,0.749,,1.0,0.6687,0.6584,3,2 - 0,2 - 0,3 - 0,6 - 0,girls,D3
2,Tufts,11-2,0.7184,,0.8462,0.6963,0.6351,10,0 - 2,1 - 0,1 - 0,9 - 0,girls,D3
3,Gettysburg,11-2,0.7179,,0.8462,0.6905,0.6443,5,0 - 1,2 - 1,2 - 0,7 - 0,girls,D3
4,Salisbury,10-3,0.7172,,0.7692,0.7254,0.6487,1,1 - 1,2 - 1,1 - 1,6 - 0,girls,D3
5,Wesleyan (CT),10-2,0.7127,,0.8333,0.68,0.6577,4,2 - 1,0 - 0,2 - 1,6 - 0,girls,D3
6,Washington & Lee,11-3,0.7024,,0.7857,0.7073,0.6092,2,1 - 2,2 - 0,0 - 1,8 - 0,girls,D3
7,Franklin & Marshall,12-2,0.6977,,0.8571,0.6531,0.6273,13,1 - 1,1 - 1,0 - 0,10 - 0,girls,D3
8,Denison,9-4,0.6838,,0.6923,0.7119,0.6191,8,0 - 1,0 - 1,2 - 1,7 - 1,girls,D3
9,Ithaca,11-1,0.683,,0.9167,0.6215,0.5721,42,0 - 0,0 - 0,1 - 0,10 - 1,girls,D3
10,College of New Jersey,8-4,0.6784,,0.6667,0.7361,0.5746,28,0 - 3,0 - 1,0 - 0,8 - 0,girls,D3
11,Dickinson,8-4,0.6726,,0.6667,0.7202,0.5835,22,0 - 1,0 - 1,0 - 1,8 - 1,girls,D3
12,Pomona-Pitzer,12-1,0.6709,,0.9231,0.6013,0.5581,49,0 - 0,0 - 0,1 - 0,11 - 1,girls,D3
13,Chicago,6-4,0.6668,,0.6,0.7379,0.5915,29,0 - 1,1 - 0,0 - 2,5 - 1,girls,D3
14,Colorado College,10-3,0.6656,,0.7692,0.663,0.5671,24,0 - 0,0 - 0,1 - 1,9 - 2,girls,D3
15,Babson,11-2,0.6652,,0.8462,0.6149,0.5847,34,0 - 1,0 - 0,1 - 1,10 - 0,girls,D3
16,William Smith,12-2,0.659,,0.8571,0.5956,0.5879,27,1 - 1,0 - 1,0 - 0,11 - 0,girls,D3
17,Christopher Newport,11-4,0.659,,0.7333,0.6452,0.6123,16,0 - 0,1 - 1,0 - 1,10 - 2,girls,D3
18,Colby,9-4,0.6574,,0.6923,0.6555,0.6262,14,1 - 2,0 - 0,0 - 1,8 - 1,girls,D3
19,Haverford,8-4,0.6555,,0.6667,0.676,0.6033,21,0 - 1,0 - 0,2 - 0,6 - 3,girls,D3
20,Amherst,8-5,0.6539,,0.6154,0.6934,0.6135,9,0 - 2,0 - 0,2 - 0,6 - 3,girls,D3
21,Rhodes,9-3,0.6449,,0.75,0.6295,0.5708,40,0 - 0,0 - 0,1 - 2,8 - 1,girls,D3
22,University of Scranton,11-2,0.6439,,0.8462,0.5833,0.563,48,0 - 0,0 - 2,1 - 0,10 - 0,girls,D3
23,Shenandoah,10-3,0.6405,,0.7692,0.6028,0.5873,33,0 - 0,0 - 1,2 - 1,8 - 1,girls,D3
24,Roanoke,11-3,0.6382,,0.7857,0.5758,0.6155,23,0 - 1,1 - 1,0 - 1,10 - 0,girls,D3
25,MIT,12-2,0.6379,,0.8571,0.5554,0.5838,36,0 - 1,0 - 0,1 - 1,11 - 0,girls,D3
26,Capital University,9-4,0.6372,,0.6923,0.6422,0.5722,35,0 - 0,0 - 1,0 - 0,9 - 3,girls,D3
27,New Paltz,12-1,0.6326,,0.9231,0.5586,0.49,141,0 - 0,0 - 0,0 - 0,12 - 1,girls,D3
28,Bowdoin,8-5,0.6265,,0.6154,0.6392,0.6123,15,0 - 1,0 - 0,1 - 1,7 - 3,girls,D3
29,Catholic (DC),7-6,0.6242,,0.5385,0.6711,0.6159,12,0 - 3,0 - 2,2 - 0,5 - 1,girls,D3
30,Ohio Wesleyan,11-2,0.6227,,0.8462,0.5369,0.5709,53,0 - 0,0 - 0,0 - 1,11 - 1,girls,D3
31,Connecticut College,7-6,0.6182,,0.5385,0.6676,0.5993,20,0 - 2,0 - 0,0 - 2,7 - 2,girls,D3
32,Muhlenberg,9-3,0.6179,,0.75,0.5694,0.583,55,0 - 0,0 - 1,0 - 2,9 - 0,girls,D3
33,Williams,7-5,0.6172,,0.5833,0.6331,0.6191,17,0 - 2,0 - 0,1 - 1,6 - 2,girls,D3
34,Stevens,10-2,0.6149,,0.8333,0.5113,0.6035,47,0 - 1,0 - 0,1 - 1,9 - 0,girls,D3
35,Trinity,6-6,0.6147,,0.5,0.6633,0.6324,6,0 - 2,1 - 0,1 - 1,4 - 3,girls,D3
36,Springfield College,12-2,0.6146,,0.8571,0.5233,0.5546,59,0 - 0,0 - 0,0 - 0,12 - 2,girls,D3
37,Hamilton,5-6,0.6133,,0.4545,0.6701,0.6585,7,0 - 3,0 - 0,1 - 2,4 - 1,girls,D3
38,George Fox,9-3,0.6104,,0.75,0.6035,0.4848,123,0 - 0,0 - 1,0 - 0,9 - 2,girls,D3
