champ_%_rank,team,pr,sos-pr,qwf-pr,champ_%,rpi,sos-rpi,qwf-rpi,selection,gender,division
1,Lenoir-Rhyne ( 17 - 1 ),1,5,1,28 . 50 %,1,1,1,3,boys,D2
2,Limestone ( 17 - 2 ),2,8,3,15 . 0 %,4,3,4,11,boys,D2
3,Tampa ( 18 - 2 ),3,2,2,9 . 50 %,2,6,3,11,boys,D2
4,Adelphi ( 16 - 2 ),4,12,4,8 . 50 %,3,2,2,7,boys,D2
5,Wingate ( 11 - 5 ),5,11,8,6 . 0 %,9,5,10,24,boys,D2
6,Newberry ( 12 - 4 ),8,19,7,4 . 50 %,16,18,8,42,boys,D2
7,Rollins ( 12 - 4 ),6,4,5,4 . 50 %,10,22,12,44,boys,D2
8,Indianapolis ( 11 - 6 ),14,15,19,3 . 50 %,8,9,16,33,boys,D2
9,Westminster (UT) ( 11 - 3 ),12,42,9,2 . 50 %,29,52,18,99,boys,D2
10,Maryville ( 13 - 5 ),13,18,15,2 . 0 %,12,14,17,43,boys,D2
11,St Anselm ( 12 - 5 ),7,13,12,2 . 0 %,5,4,6,15,boys,D2
12,Flagler ( 7 - 9 ),25,9,36,1 . 50 %,30,25,41,96,boys,D2
13,Florida Southern ( 10 - 7 ),10,3,17,1 . 50 %,14,11,27,52,boys,D2
14,Pace ( 13 - 4 ),15,20,11,1 . 50 %,6,13,7,26,boys,D2
15,Bentley ( 9 - 6 ),16,10,18,0 . 0 %,11,8,13,32,boys,D2
16,Embry-Riddle ( 6 - 8 ),20,14,39,0 . 0 %,35,48,40,123,boys,D2
17,Mercy ( 13 - 2 ),11,44,6,0 . 0 %,7,16,5,28,boys,D2
18,Mercyhurst ( 13 - 5 ),21,47,16,0 . 0 %,15,10,9,34,boys,D2
19,Rockhurst ( 10 - 5 ),23,28,23,0 . 0 %,22,32,23,77,boys,D2
20,St Leo ( 9 - 6 ),17,7,22,0 . 0 %,25,47,28,100,boys,D2
21,Colorado Mesa ( 13 - 4 ),9,39,13,0 . 0 %,23,24,15,62,boys,D2
22,Florida Tech ( 6 - 9 ),19,1,30,0 . 0 %,26,15,34,75,boys,D2
23,Frostburg State ( 13 - 4 ),32,56,21,0 . 0 %,17,21,14,52,boys,D2
24,Lewis ( 14 - 5 ),18,27,10,0 . 0 %,13,7,11,31,boys,D2
25,Lynn ( 5 - 10 ),31,6,43,0 . 0 %,42,49,60,151,boys,D2
26,Seton Hill ( 11 - 6 ),24,53,31,0 . 0 %,19,19,25,63,boys,D2
27,Adams State ( 1 - 13 ),72,29,74,0 . 0 %,75,57,78,210,boys,D2
28,Alabama-Huntsville ( 7 - 9 ),37,36,53,0 . 0 %,49,46,51,146,boys,D2
29,American International ( 5 - 10 ),50,51,58,0 . 0 %,52,45,52,149,boys,D2
30,Anderson (SC) ( 7 - 9 ),22,16,34,0 . 0 %,33,20,35,88,boys,D2
31,Assumption ( 7 - 6 ),35,22,29,0 . 0 %,24,29,26,79,boys,D2
32,Barton ( 7 - 10 ),48,46,59,0 . 0 %,47,27,58,132,boys,D2
33,Belmont Abbey ( 10 - 7 ),30,30,28,0 . 0 %,28,17,31,76,boys,D2
34,Bridgeport ( 7 - 8 ),61,71,55,0 . 0 %,58,62,53,173,boys,D2
35,Caldwell ( 4 - 8 ),68,70,60,0 . 0 %,63,70,62,195,boys,D2
36,Catawba ( 6 - 9 ),41,26,41,0 . 0 %,45,30,44,119,boys,D2
37,Chestnut Hill ( 11 - 4 ),38,68,25,0 . 0 %,31,43,22,96,boys,D2
38,Chowan ( 5 - 9 ),63,67,63,0 . 0 %,67,71,64,202,boys,D2
39,Coker ( 6 - 9 ),52,21,38,0 . 0 %,44,28,39,111,boys,D2
40,Concordia-Irvine ( 7 - 8 ),28,31,35,0 . 0 %,48,38,50,136,boys,D2
41,CSU-Pueblo ( 2 - 12 ),67,41,68,0 . 0 %,73,77,75,225,boys,D2
42,D'Youville ( 2 - 14 ),71,61,79,0 . 0 %,69,59,79,207,boys,D2
43,Davenport ( 9 - 5 ),46,55,32,0 . 0 %,36,64,29,129,boys,D2
44,Davis & Elkins ( 3 - 11 ),77,77,75,0 . 0 %,76,76,72,224,boys,D2
45,District of Columbia ( 1 - 11 ),79,73,76,0 . 0 %,77,69,74,220,boys,D2
46,Dominican (CA) ( 4 - 9 ),56,23,56,0 . 0 %,59,55,65,179,boys,D2
47,Dominican (NY) ( 4 - 9 ),70,76,66,0 . 0 %,65,72,67,204,boys,D2
48,Emmanuel (GA) ( 1 - 15 ),65,49,80,0 . 0 %,72,56,80,208,boys,D2
49,Felician ( 4 - 10 ),73,78,69,0 . 0 %,74,73,70,217,boys,D2
50,Franklin Pierce ( 3 - 10 ),59,40,61,0 . 0 %,56,50,59,165,boys,D2
51,Georgian Court ( 9 - 8 ),49,63,40,0 . 0 %,40,26,36,102,boys,D2
52,Holy Family ( 2 - 12 ),80,79,78,0 . 0 %,79,78,77,234,boys,D2
53,Lake Erie ( 8 - 8 ),51,59,45,0 . 0 %,41,36,37,114,boys,D2
54,Lander ( 12 - 4 ),27,32,20,0 . 0 %,21,41,20,82,boys,D2
55,Lees-McRae ( 3 - 8 ),76,60,65,0 . 0 %,78,68,66,212,boys,D2
56,Lincoln Memorial ( 5 - 10 ),44,35,46,0 . 0 %,57,42,55,154,boys,D2
57,Malone ( 8 - 9 ),62,69,62,0 . 0 %,61,74,61,196,boys,D2
58,Mars Hill ( 5 - 10 ),53,33,48,0 . 0 %,55,40,56,151,boys,D2
59,Molloy ( 8 - 10 ),43,50,47,0 . 0 %,34,12,38,84,boys,D2
60,Montevallo ( 9 - 6 ),29,34,33,0 . 0 %,38,54,33,125,boys,D2
61,Mount Olive ( 12 - 3 ),33,48,14,0 . 0 %,20,44,19,83,boys,D2
62,North Greenville ( 10 - 8 ),39,45,42,0 . 0 %,43,51,42,136,boys,D2
63,Palm Beach Atlantic ( 6 - 5 ),34,17,26,0 . 0 %,39,60,30,129,boys,D2
64,Post ( 10 - 8 ),55,72,50,0 . 0 %,54,75,48,177,boys,D2
65,Quincy ( 6 - 8 ),47,43,44,0 . 0 %,50,53,43,146,boys,D2
66,Roberts Wesleyan ( 10 - 6 ),36,54,37,0 . 0 %,32,33,32,97,boys,D2
67,Shorter ( 8 - 8 ),66,65,54,0 . 0 %,70,80,54,204,boys,D2
68,Southern New Hampshire ( 4 - 9 ),42,25,51,0 . 0 %,46,35,45,126,boys,D2
69,St Michaels ( 9 - 5 ),26,38,24,0 . 0 %,27,39,21,87,boys,D2
70,St Rose ( 7 - 10 ),45,37,52,0 . 0 %,37,23,46,106,boys,D2
71,St Thomas Aquinas ( 5 - 11 ),69,75,71,0 . 0 %,68,63,71,202,boys,D2
72,Thomas More ( 2 - 10 ),74,64,70,0 . 0 %,66,65,68,199,boys,D2
73,Tiffin ( 4 - 10 ),75,66,72,0 . 0 %,71,67,69,207,boys,D2
74,Tusculum ( 1 - 14 ),64,24,77,0 . 0 %,64,37,76,177,boys,D2
