champ_%_rank,team,pr,sos-pr,qwf-pr,champ_%,rpi,sos-rpi,qwf-rpi,selection,gender,division
1,Reinhardt ( 15 - 1 ),1,6,2,37 . 50 %,2,6,2,10,boys,
2,Keiser ( 16 - 2 ),2,1,1,23 . 0 %,1,1,1,3,boys,
3,Webber International ( 14 - 4 ),3,4,4,16 . 0 %,4,17,4,25,boys,
4,Cumberlands ( 13 - 5 ),4,2,3,9 . 0 %,3,2,3,8,boys,
5,Concordia-Ann Arbor ( 12 - 5 ),5,13,7,5 . 0 %,6,20,7,33,boys,
6,Indiana Tech ( 9 - 7 ),7,3,8,3 . 50 %,5,3,8,16,boys,
7,William Penn ( 16 - 3 ),6,22,5,2 . 50 %,7,13,5,25,boys,
8,Aquinas ( 11 - 3 ),8,15,6,1 . 50 %,8,12,6,26,boys,
9,SCAD ( 8 - 6 ),9,8,9,0 . 0 %,9,18,9,36,boys,
10,Life University ( 4 - 7 ),13,11,17,0 . 0 %,20,14,20,54,boys,
11,Siena Heights ( 6 - 9 ),12,14,19,0 . 0 %,13,15,14,42,boys,
12,Benedictine (KS) ( 11 - 5 ),15,24,10,0 . 0 %,10,9,10,29,boys,
13,Clarke ( 4 - 10 ),27,28,26,0 . 0 %,27,29,25,81,boys,
14,Columbia (MO) ( 3 - 9 ),23,18,25,0 . 0 %,23,26,23,72,boys,
15,Lawrence Tech ( 4 - 7 ),19,7,16,0 . 0 %,14,8,17,39,boys,
16,Lourdes ( 4 - 8 ),22,21,23,0 . 0 %,25,24,24,73,boys,
17,Madonna ( 8 - 7 ),10,9,11,0 . 0 %,11,11,11,33,boys,
18,Midland ( 1 - 12 ),29,25,30,0 . 0 %,29,23,30,82,boys,
19,Missouri Baptist ( 4 - 12 ),25,16,29,0 . 0 %,22,7,29,58,boys,
20,Missouri Valley ( 1 - 7 ),30,27,27,0 . 0 %,28,27,27,82,boys,
21,Montreat ( 1 - 13 ),26,19,24,0 . 0 %,24,4,26,54,boys,
22,Mount Vernon Nazarene ( 9 - 4 ),24,29,18,0 . 0 %,21,28,15,64,boys,
23,Ottawa ( 8 - 7 ),17,17,13,0 . 0 %,12,5,13,30,boys,
24,Point ( 6 - 10 ),11,26,14,0 . 0 %,17,21,18,56,boys,
25,St Ambrose ( 9 - 7 ),20,23,20,0 . 0 %,15,16,16,47,boys,
26,St Mary (KS) ( 2 - 10 ),28,20,28,0 . 0 %,26,19,28,73,boys,
27,Taylor ( 5 - 10 ),21,10,22,0 . 0 %,18,10,22,50,boys,
28,Tennessee Wesleyan ( 4 - 9 ),14,5,15,0 . 0 %,16,25,19,60,boys,
29,UM-Dearborn ( 6 - 9 ),16,12,21,0 . 0 %,19,22,21,62,boys,
30,William Woods ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,boys,
