index,team,record,rpi,projections,1st,2nd,3rd,sos,vs_1-5,vs_6-10,vs_11-20,vs_21+,gender,division,web_source,rank,school,conference,road,neutral,home,non_div_i,champ_%_rank,pr,sos-pr,qwf-pr,champ_%,sos-rpi,qwf-rpi,selection,champion_%
1.0,RIT,13-1,0.7357,,0.9286,0.6973,0.6198,22.0,33 - 3,10 - 4,10 - 1,94 - 3,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
2.0,Salisbury,14-0,0.7085,,1.0,0.6046,0.6248,38.0,1 - 1,18 - 2,8 - 3,125 - 11,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
3.0,St. Lawrence,12-1,0.7055,,0.9231,0.6292,0.6402,1.0,10 - 21,10 - 0,2 - 1,72 - 11,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
4.0,RPI,13-0,0.7024,,1.0,0.5848,0.64,7.0,8 - 17,7 - 1,6 - 1,55 - 17,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
5.0,Union,9-3,0.6917,,0.75,0.6979,0.6212,1.0,12 - 22,7 - 3,16 - 1,55 - 11,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
6.0,Christopher Newport,9-4,0.6859,,0.6923,0.7191,0.6132,15.0,2 - 17,2 - 1,16 - 3,86 - 16,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
7.0,Tufts,10-2,0.6847,,0.8333,0.6405,0.6247,20.0,5 - 5,1 - 0,17 - 6,93 - 5,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
8.0,Dickinson,11-2,0.6845,,0.8462,0.6469,0.5981,52.0,1 - 1,7 - 3,6 - 1,86 - 30,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
9.0,Swarthmore,11-1,0.6697,,0.9167,0.5778,0.6066,63.0,0 - 0,7 - 9,1 - 1,62 - 30,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
10.0,Vassar,9-4,0.6552,,0.6923,0.674,0.5803,10.0,2 - 29,2 - 6,0 - 3,40 - 27,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
11.0,Babson,11-2,0.6488,,0.8462,0.591,0.567,28.0,0 - 14,1 - 2,3 - 6,65 - 24,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
12.0,Bowdoin,10-2,0.6473,,0.8333,0.5812,0.5935,44.0,1 - 2,1 - 6,12 - 6,48 - 24,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
13.0,Wesleyan,9-3,0.6466,,0.75,0.6199,0.5966,30.0,4 - 3,7 - 6,4 - 2,67 - 21,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
14.0,Ohio Wesleyan,8-3,0.6455,,0.7273,0.6353,0.5843,8.0,2 - 9,0 - 1,2 - 2,78 - 24,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
15.0,Washington and Lee,11-3,0.6448,,0.7857,0.5959,0.6019,40.0,0 - 2,2 - 6,8 - 2,80 - 35,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
16.0,Roanoke,12-2,0.644,,0.8571,0.5691,0.5809,38.0,0 - 3,2 - 11,4 - 7,73 - 23,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
17.0,Hope,9-3,0.6434,,0.75,0.6338,0.5559,122.0,0 - 0,0 - 1,3 - 3,87 - 28,boys,D3,lacrossereference,,,,,,,,,,,,,,,,
