index,Team,Record,RPI,Projections,1st,2nd,3rd,SOS,vs 1-5,vs 6-10,vs 11-20,vs 21+
1,Middlebury,13-0,0.7490,,1.0000,0.6687,0.6584,3,2 - 0,2 - 0,3 - 0,6 - 0
2,Tufts,11-2,0.7184,,0.8462,0.6963,0.6351,10,0 - 2,1 - 0,1 - 0,9 - 0
3,Gettysburg,11-2,0.7179,,0.8462,0.6905,0.6443,5,0 - 1,2 - 1,2 - 0,7 - 0
4,Salisbury,10-3,0.7172,,0.7692,0.7254,0.6487,1,1 - 1,2 - 1,1 - 1,6 - 0
5,Wesleyan (CT),10-2,0.7127,,0.8333,0.6800,0.6577,4,2 - 1,0 - 0,2 - 1,6 - 0
6,Washington & Lee,11-3,0.7024,,0.7857,0.7073,0.6092,2,1 - 2,2 - 0,0 - 1,8 - 0
7,Franklin & Marshall,12-2,0.6977,,0.8571,0.6531,0.6273,13,1 - 1,1 - 1,0 - 0,10 - 0
8,Denison,9-4,0.6838,,0.6923,0.7119,0.6191,8,0 - 1,0 - 1,2 - 1,7 - 1
9,Ithaca,11-1,0.6830,,0.9167,0.6215,0.5721,42,0 - 0,0 - 0,1 - 0,10 - 1
10,College of New Jersey,8-4,0.6784,,0.6667,0.7361,0.5746,28,0 - 3,0 - 1,0 - 0,8 - 0
11,Dickinson,8-4,0.6726,,0.6667,0.7202,0.5835,22,0 - 1,0 - 1,0 - 1,8 - 1
12,Pomona-Pitzer,12-1,0.6709,,0.9231,0.6013,0.5581,49,0 - 0,0 - 0,1 - 0,11 - 1
13,Chicago,6-4,0.6668,,0.6000,0.7379,0.5915,29,0 - 1,1 - 0,0 - 2,5 - 1
14,Colorado College,10-3,0.6656,,0.7692,0.6630,0.5671,24,0 - 0,0 - 0,1 - 1,9 - 2
15,Babson,11-2,0.6652,,0.8462,0.6149,0.5847,34,0 - 1,0 - 0,1 - 1,10 - 0
16,William Smith,12-2,0.6590,,0.8571,0.5956,0.5879,27,1 - 1,0 - 1,0 - 0,11 - 0
17,Christopher Newport,11-4,0.6590,,0.7333,0.6452,0.6123,16,0 - 0,1 - 1,0 - 1,10 - 2
18,Colby,9-4,0.6574,,0.6923,0.6555,0.6262,14,1 - 2,0 - 0,0 - 1,8 - 1
19,Haverford,8-4,0.6555,,0.6667,0.6760,0.6033,21,0 - 1,0 - 0,2 - 0,6 - 3
20,Amherst,8-5,0.6539,,0.6154,0.6934,0.6135,9,0 - 2,0 - 0,2 - 0,6 - 3
21,Rhodes,9-3,0.6449,,0.7500,0.6295,0.5708,40,0 - 0,0 - 0,1 - 2,8 - 1
22,University of Scranton,11-2,0.6439,,0.8462,0.5833,0.5630,48,0 - 0,0 - 2,1 - 0,10 - 0
23,Shenandoah,10-3,0.6405,,0.7692,0.6028,0.5873,33,0 - 0,0 - 1,2 - 1,8 - 1
24,Roanoke,11-3,0.6382,,0.7857,0.5758,0.6155,23,0 - 1,1 - 1,0 - 1,10 - 0
25,MIT,12-2,0.6379,,0.8571,0.5554,0.5838,36,0 - 1,0 - 0,1 - 1,11 - 0
26,Capital University,9-4,0.6372,,0.6923,0.6422,0.5722,35,0 - 0,0 - 1,0 - 0,9 - 3
27,New Paltz,12-1,0.6326,,0.9231,0.5586,0.4900,141,0 - 0,0 - 0,0 - 0,12 - 1
28,Bowdoin,8-5,0.6265,,0.6154,0.6392,0.6123,15,0 - 1,0 - 0,1 - 1,7 - 3
29,Catholic (DC),7-6,0.6242,,0.5385,0.6711,0.6159,12,0 - 3,0 - 2,2 - 0,5 - 1
30,Ohio Wesleyan,11-2,0.6227,,0.8462,0.5369,0.5709,53,0 - 0,0 - 0,0 - 1,11 - 1
31,Connecticut College,7-6,0.6182,,0.5385,0.6676,0.5993,20,0 - 2,0 - 0,0 - 2,7 - 2
32,Muhlenberg,9-3,0.6179,,0.7500,0.5694,0.5830,55,0 - 0,0 - 1,0 - 2,9 - 0
33,Williams,7-5,0.6172,,0.5833,0.6331,0.6191,17,0 - 2,0 - 0,1 - 1,6 - 2
34,Stevens,10-2,0.6149,,0.8333,0.5113,0.6035,47,0 - 1,0 - 0,1 - 1,9 - 0
35,Trinity,6-6,0.6147,,0.5000,0.6633,0.6324,6,0 - 2,1 - 0,1 - 1,4 - 3
36,Springfield College,12-2,0.6146,,0.8571,0.5233,0.5546,59,0 - 0,0 - 0,0 - 0,12 - 2
37,Hamilton,5-6,0.6133,,0.4545,0.6701,0.6585,7,0 - 3,0 - 0,1 - 2,4 - 1
38,George Fox,9-3,0.6104,,0.7500,0.6035,0.4848,123,0 - 0,0 - 1,0 - 0,9 - 2
39,Coast Guard,9-4,0.6102,,0.6923,0.6071,0.5344,51,0 - 0,0 - 0,0 - 1,9 - 3
40,Washington College,7-6,0.6100,,0.5385,0.6450,0.6116,19,0 - 2,0 - 1,0 - 1,7 - 2
41,St. Mary's (MD),7-5,0.6073,,0.5833,0.6539,0.5380,43,0 - 0,0 - 2,0 - 1,7 - 2
42,Cortland,9-4,0.6037,,0.6923,0.5836,0.5553,52,0 - 1,0 - 1,0 - 1,9 - 1
43,Wisconsin Eau Claire,9-3,0.6030,,0.7500,0.5896,0.4827,125,0 - 0,0 - 0,0 - 1,9 - 2
44,Wooster,9-2,0.6021,,0.8182,0.5298,0.5308,127,0 - 0,0 - 1,0 - 0,9 - 1
45,Stevenson,9-4,0.5973,,0.6923,0.5605,0.5759,41,0 - 2,0 - 0,0 - 0,9 - 2
46,Stockton,13-1,0.5955,,0.9286,0.4608,0.5318,118,0 - 0,0 - 1,0 - 0,13 - 0
47,Geneseo,10-3,0.5954,,0.7692,0.5106,0.5912,61,0 - 0,0 - 0,0 - 2,10 - 1
48,Hope College,8-4,0.5948,,0.6667,0.5787,0.5550,59,0 - 0,0 - 0,0 - 1,8 - 3
49,Cabrini,10-3,0.5901,,0.7692,0.5229,0.5456,67,0 - 0,0 - 1,0 - 1,10 - 1
50,Mount Union,8-3,0.5900,,0.7273,0.5330,0.5667,69,0 - 0,0 - 1,0 - 0,8 - 2
51,York,7-6,0.5894,,0.5385,0.6039,0.6112,11,0 - 2,0 - 2,2 - 1,5 - 1
52,Kalamazoo,6-1,0.5893,,0.8571,0.5103,0.4793,188,0 - 0,0 - 0,0 - 0,6 - 1
53,Endicott,8-6,0.5857,,0.5714,0.6228,0.5258,44,0 - 2,0 - 0,0 - 1,8 - 3
54,Berry,11-3,0.5851,,0.7857,0.5289,0.4969,122,0 - 0,0 - 0,0 - 0,11 - 3
55,Centre,11-3,0.5846,,0.7857,0.5217,0.5091,103,0 - 0,0 - 0,0 - 0,11 - 3
56,Montclair State,7-3,0.5826,,0.7000,0.5558,0.5188,134,0 - 0,0 - 0,0 - 0,7 - 3
57,Kenyon,5-5,0.5814,,0.5000,0.6443,0.5369,62,0 - 0,0 - 0,0 - 1,5 - 4
58,Lake Forest,11-2,0.5763,,0.8462,0.4791,0.5008,148,0 - 0,0 - 0,0 - 1,11 - 1
59,Claremont-Mudd-Scripps,10-3,0.5740,,0.7692,0.4856,0.5556,70,0 - 0,0 - 0,0 - 2,10 - 1
60,Rensselaer,4-6,0.5730,,0.4000,0.6657,0.5607,56,0 - 1,0 - 1,0 - 2,4 - 2
61,Otterbein,7-4,0.5729,,0.6364,0.5610,0.5334,84,0 - 0,0 - 0,0 - 0,7 - 4
62,Salve Regina,8-6,0.5721,,0.5714,0.6063,0.5044,72,0 - 0,0 - 0,0 - 1,8 - 5
63,St. John Fisher,5-7,0.5711,,0.4167,0.6598,0.5480,31,0 - 0,0 - 1,0 - 2,5 - 4
64,Carroll (WI),10-3,0.5708,,0.7692,0.4957,0.5226,102,0 - 0,0 - 0,0 - 1,10 - 2
65,Western Connecticut,8-5,0.5698,,0.6154,0.5577,0.5482,73,0 - 1,0 - 0,0 - 0,8 - 4
66,Framingham State,10-3,0.5684,,0.7692,0.4984,0.5076,111,0 - 0,0 - 0,0 - 1,10 - 2
67,DePauw,6-4,0.5658,,0.6000,0.5675,0.5283,115,0 - 0,0 - 0,0 - 1,6 - 3
