Rank,Team,PR,SOS-PR,QWF-PR,Champion %,RPI,SOS-RPI,QWF-RPI,Selection
1,Wisconsin Red Club ( 7 - 1 ),1,4,3,33 . 0 %,3,7,3,13
2,Notre Dame Club ( 11 - 1 ),2,6,1,20 . 50 %,2,15,1,18
3,Ohio State Gray (GLLL) C( 5 - 1 ),3,1,9,12 . 0 %,4,2,10,16
4,Michigan State (GLLL) Cl( 6 - 4 ),4,20,11,9 . 0 %,16,22,11,49
5,Illinois State Club ( 6 - 4 ),6,3,4,4 . 0 %,5,5,5,15
6,UW Eau Claire Club ( 7 - 3 ),9,18,10,4 . 0 %,10,19,7,36
7,Wisconsin White Club ( 6 - 2 ),7,23,8,4 . 0 %,12,27,8,47
8,Mankato State Club ( 9 - 1 ),5,15,2,3 . 0 %,1,3,2,6
9,Northern Michigan Club ( 7 - 2 ),12,30,12,2 . 0 %,15,30,12,57
10,Marquette Club ( 5 - 6 ),10,5,13,1 . 50 %,9,4,15,28
11,St Cloud State Club ( 5 - 3 ),13,9,6,1 . 50 %,7,6,9,22
12,UW La Crosse Club ( 3 - 5 ),15,17,21,1 . 50 %,22,17,19,58
13,Central Michigan Club ( 4 - 3 ),16,21,15,0 . 0 %,14,20,14,48
14,Iowa Club ( 5 - 2 ),8,13,7,0 . 0 %,6,8,6,20
15,Loyola Chicago Club ( 9 - 3 ),11,24,5,0 . 0 %,8,10,4,22
16,Northwestern (IL) Club ( 2 - 8 ),14,2,18,0 . 0 %,21,9,25,55
17,Carleton Club ( 2 - 6 ),17,11,23,0 . 0 %,19,11,23,53
18,Ferris State Club ( 4 - 6 ),21,25,25,0 . 0 %,25,23,24,72
19,Mad Cow LC ( 2 - 8 ),28,22,31,0 . 0 %,27,18,30,75
20,Michigan Tech Club ( 4 - 3 ),22,31,17,0 . 0 %,18,26,16,60
21,Northern Illinois Club ( 0 - 7 ),29,8,28,0 . 0 %,31,21,28,80
22,Oakland Club ( 1 - 8 ),31,12,27,0 . 0 %,30,25,29,84
23,Saginaw Valley State Clu( 1 - 8 ),30,14,30,0 . 0 %,26,16,31,73
24,St Xavier Club ( 2 - 5 ),25,26,26,0 . 0 %,29,29,26,84
25,UW Milwaukee Club ( 3 - 6 ),27,27,29,0 . 0 %,28,28,27,83
26,UW Oshkosh Club ( 3 - 3 ),26,29,19,0 . 0 %,20,24,18,62
27,UW Platteville Club ( 4 - 6 ),24,16,24,0 . 0 %,13,12,22,47
28,UW River Falls Club ( 1 - 5 ),23,7,22,0 . 0 %,24,13,21,58
29,UW Whitewater Club ( 3 - 2 ),19,28,16,0 . 0 %,23,31,13,67
30,Winona State Club ( 5 - 6 ),18,19,20,0 . 0 %,17,14,20,51
31,Wisconsin Badger Club ( 1 - 3 ),20,10,14,0 . 0 %,11,1,17,29
