Rank,Team,PR,SOS-PR,QWF-PR,Champion %,RPI,SOS-RPI,QWF-RPI,Selection
1,Navy Club ( 9 - 2 ),1,10,2,30 . 0 %,2,4,2,8
2,Virginia Club ( 6 - 2 ),2,2,5,16 . 50 %,4,1,5,10
3,Maryland Club ( 12 - 1 ),3,11,1,12 . 0 %,1,3,1,5
4,Ohio State Scarlet (NCLL( 11 - 3 ),4,9,3,11 . 50 %,6,17,4,27
5,Penn Club ( 9 - 3 ),9,12,10,6 . 0 %,11,18,11,40
6,Loyola (MD) Club ( 6 - 5 ),7,8,6,5 . 0 %,9,9,7,25
7,Michigan (NCLL) Club ( 4 - 3 ),5,1,7,4 . 0 %,10,30,8,48
8,Delaware Club ( 3 - 3 ),6,6,13,3 . 0 %,12,7,13,32
9,Penn State Club ( 4 - 4 ),10,5,12,2 . 50 %,8,2,14,24
10,Union Club ( 8 - 3 ),15,27,24,2 . 0 %,15,24,16,55
11,Villanova Club ( 6 - 2 ),12,17,8,2 . 0 %,16,26,9,51
12,Hudson Hellfire LC ( 8 - 3 ),13,18,11,1 . 50 %,5,11,6,22
13,Fairfield Club ( 8 - 2 ),8,20,4,0 . 0 %,3,6,3,12
14,Lafayette Club ( 2 - 3 ),14,15,15,0 . 0 %,20,5,19,44
15,Ohio University Club ( 2 - 5 ),11,13,17,0 . 0 %,27,31,21,79
16,Towson Club ( 3 - 5 ),16,7,20,0 . 0 %,17,12,24,53
17,Albany Club ( 5 - 6 ),30,25,30,0 . 0 %,29,21,30,80
18,Cincinnati Club ( 2 - 6 ),17,4,19,0 . 0 %,31,28,26,85
19,Cornell Club ( 4 - 2 ),26,31,21,0 . 0 %,26,29,17,72
20,Cortland Club ( 5 - 6 ),25,19,14,0 . 0 %,14,16,18,48
21,Fordham Club ( 6 - 3 ),22,26,18,0 . 0 %,13,10,12,35
22,Hofstra Club ( 0 - 5 ),31,29,27,0 . 0 %,30,27,23,80
23,Holy Cross (MA) Club ( 6 - 3 ),19,23,25,0 . 0 %,22,25,22,69
24,Lehigh Club ( 2 - 3 ),21,16,16,0 . 0 %,23,20,20,63
25,Massachusetts A Club ( 4 - 1 ),24,22,9,0 . 0 %,7,15,10,32
26,Providence Club ( 2 - 6 ),28,21,29,0 . 0 %,21,13,29,63
27,Rutgers Club ( 6 - 5 ),18,14,26,0 . 0 %,19,14,27,60
28,Sacred Heart Club ( 7 - 3 ),27,30,22,0 . 0 %,24,22,15,61
29,Salisbury Club ( 1 - 6 ),23,3,23,0 . 0 %,18,8,28,54
30,Syracuse Club ( 3 - 8 ),29,24,31,0 . 0 %,28,23,31,82
31,Vermont Club ( 4 - 4 ),20,28,28,0 . 0 %,25,19,25,69
