Champ % Rank,Team,PR,SOS-PR,QWF-PR,Champ %,RPI,SOS-RPI,QWF-RPI,Selection
1,Notre Dame ( 15 - 1 ),1,3,1,25 . 0 %,1,1,1,3
2,Duke ( 13 - 6 ),2,5,6,11 . 50 %,2,2,4,8
3,Virginia ( 12 - 6 ),3,4,5,8 . 0 %,4,3,5,12
4,Maryland ( 11 - 5 ),6,1,2,6 . 50 %,3,4,2,9
5,Johns Hopkins ( 11 - 5 ),7,2,4,5 . 0 %,5,7,6,18
6,Princeton ( 11 - 5 ),8,14,13,5 . 0 %,10,10,11,31
7,Penn State ( 11 - 5 ),5,9,9,4 . 50 %,9,16,10,35
8,Georgetown ( 13 - 4 ),9,15,7,4 . 0 %,8,6,7,21
9,Cornell ( 9 - 5 ),11,8,11,3 . 50 %,11,13,12,36
10,North Carolina ( 7 - 7 ),16,19,20,3 . 50 %,23,14,21,58
11,Syracuse ( 12 - 6 ),4,6,8,3 . 50 %,6,5,8,19
12,Army West Point ( 11 - 3 ),14,29,16,3 . 0 %,16,41,16,73
13,Towson ( 13 - 4 ),15,37,14,3 . 0 %,17,24,13,54
14,Yale ( 11 - 4 ),12,18,10,2 . 0 %,13,19,9,41
15,Denver ( 13 - 4 ),10,11,3,1 . 50 %,7,8,3,18
16,Michigan ( 10 - 7 ),13,10,12,1 . 50 %,14,9,15,38
17,Harvard ( 8 - 5 ),24,21,19,0 . 0 %,20,36,19,75
18,Lehigh ( 10 - 7 ),28,24,32,0 . 0 %,22,32,30,84
19,Ohio State ( 6 - 9 ),19,12,27,0 . 0 %,21,12,27,60
20,Penn ( 9 - 6 ),17,7,17,0 . 0 %,12,11,17,40
21,Richmond ( 10 - 6 ),21,30,21,0 . 0 %,24,27,18,69
22,Villanova ( 9 - 7 ),20,20,25,0 . 0 %,19,15,24,58
23,Boston University ( 10 - 7 ),22,23,30,0 . 0 %,18,17,33,68
24,Colgate ( 8 - 7 ),23,22,31,0 . 0 %,27,26,32,85
25,Delaware ( 9 - 5 ),25,39,22,0 . 0 %,30,40,22,92
26,Loyola (MD) ( 7 - 8 ),26,17,36,0 . 0 %,26,18,35,79
27,Rutgers ( 7 - 7 ),27,16,24,0 . 0 %,28,22,25,75
28,Utah ( 12 - 5 ),31,50,18,0 . 0 %,25,25,20,70
29,Air Force ( 9 - 6 ),45,57,34,0 . 0 %,38,46,34,118
30,Albany ( 10 - 8 ),30,36,39,0 . 0 %,31,29,39,99
31,Bellarmine ( 9 - 8 ),57,73,42,0 . 0 %,56,52,43,151
32,Binghamton ( 6 - 7 ),59,59,48,0 . 0 %,57,65,47,169
33,Brown ( 3 - 11 ),36,13,60,0 . 0 %,42,21,57,120
34,Bryant ( 9 - 5 ),29,47,35,0 . 0 %,33,61,31,125
35,Bucknell ( 4 - 10 ),50,34,67,0 . 0 %,59,48,65,172
36,Canisius ( 5 - 10 ),67,68,64,0 . 0 %,65,59,66,190
37,Cleveland State ( 9 - 8 ),62,62,43,0 . 0 %,45,39,44,128
38,Dartmouth ( 3 - 10 ),49,25,59,0 . 0 %,58,38,59,155
39,Detroit Mercy ( 3 - 10 ),68,65,68,0 . 0 %,69,69,68,206
40,Drexel ( 6 - 9 ),44,33,49,0 . 0 %,41,34,50,125
41,Fairfield ( 8 - 7 ),42,48,41,0 . 0 %,46,47,41,134
42,Hampton ( 0 - 13 ),76,53,74,0 . 0 %,76,72,74,222
43,High Point ( 9 - 7 ),34,43,29,0 . 0 %,37,30,29,96
44,Hobart ( 4 - 9 ),52,32,54,0 . 0 %,53,45,54,152
45,Hofstra ( 6 - 9 ),48,46,58,0 . 0 %,55,57,60,172
46,Holy Cross (MA) ( 2 - 11 ),65,38,69,0 . 0 %,68,58,69,195
47,Jacksonville ( 13 - 5 ),35,61,23,0 . 0 %,29,37,23,89
48,Lafayette ( 6 - 7 ),43,45,44,0 . 0 %,49,54,45,148
49,Le Moyne ( 3 - 8 ),64,54,55,0 . 0 %,67,76,55,198
50,Lindenwood ( 0 - 12 ),75,70,72,0 . 0 %,75,70,72,217
51,LIU ( 10 - 4 ),56,74,26,0 . 0 %,43,67,26,136
52,Manhattan ( 8 - 9 ),53,51,52,0 . 0 %,36,23,51,110
53,Marist ( 8 - 7 ),55,64,45,0 . 0 %,44,53,46,143
54,Marquette ( 4 - 10 ),47,31,50,0 . 0 %,50,28,52,130
55,Massachusetts ( 6 - 8 ),37,41,53,0 . 0 %,47,44,48,139
56,Massachusetts-Lowell ( 0 - 12 ),74,52,73,0 . 0 %,73,71,73,217
57,Mercer ( 4 - 10 ),70,69,65,0 . 0 %,66,64,67,197
58,Merrimack ( 6 - 9 ),61,44,61,0 . 0 %,48,49,61,158
59,Monmouth ( 5 - 8 ),51,56,51,0 . 0 %,62,55,53,170
60,Mount St Marys ( 1 - 14 ),71,58,75,0 . 0 %,70,56,75,201
61,Navy ( 9 - 7 ),32,27,33,0 . 0 %,32,33,36,101
62,NJIT ( 8 - 6 ),58,71,40,0 . 0 %,61,74,40,175
63,Providence ( 7 - 8 ),33,26,38,0 . 0 %,35,31,37,103
64,Queens ( 2 - 11 ),72,75,70,0 . 0 %,74,73,71,218
65,Quinnipiac ( 9 - 5 ),40,67,37,0 . 0 %,40,66,38,144
66,Robert Morris ( 5 - 10 ),66,63,63,0 . 0 %,64,51,62,177
67,Sacred Heart ( 13 - 5 ),38,66,28,0 . 0 %,34,50,28,112
68,Siena ( 8 - 8 ),54,72,56,0 . 0 %,54,62,56,172
69,St Bonaventure ( 1 - 11 ),69,55,71,0 . 0 %,71,75,70,216
70,St Johns (NY) ( 4 - 11 ),60,35,66,0 . 0 %,51,35,63,149
71,St Josephs (PA) ( 12 - 4 ),18,28,15,0 . 0 %,15,20,14,49
72,Stony Brook ( 4 - 10 ),41,40,62,0 . 0 %,60,43,64,167
73,UMBC ( 5 - 7 ),46,49,46,0 . 0 %,52,60,49,161
74,Vermont ( 8 - 8 ),39,42,47,0 . 0 %,39,42,42,123
75,VMI ( 7 - 8 ),63,76,57,0 . 0 %,63,68,58,189
76,Wagner ( 1 - 14 ),73,60,76,0 . 0 %,72,63,76,211
