Champ % Rank,Team,PR,SOS-PR,QWF-PR,Champ %,RPI,SOS-RPI,QWF-RPI,Selection
1,Florida Southern ( 13 - 3 ),4,1,3,13 . 50 %,1,1,1,3
2,Maryville ( 14 - 0 ),5,38,4,13 . 50 %,2,13,3,18
3,West Chester ( 11 - 0 ),3,5,2,9 . 0 %,4,44,5,53
4,Pace ( 12 - 0 ),2,11,1,7 . 50 %,5,21,2,28
5,Tampa ( 12 - 3 ),6,2,7,7 . 0 %,6,2,4,12
6,Grand Valley State ( 11 - 1 ),7,30,9,6 . 0 %,3,14,10,27
7,Indianapolis ( 11 - 4 ),17,32,17,4 . 0 %,16,10,16,42
8,Adelphi ( 10 - 2 ),1,10,5,3 . 50 %,8,18,8,34
9,Flagler ( 14 - 2 ),12,25,8,3 . 50 %,7,12,6,25
10,Bentley ( 8 - 4 ),8,8,18,2 . 50 %,24,33,35,92
11,Regis (CO) ( 12 - 1 ),9,33,6,2 . 50 %,9,22,7,38
12,Rollins ( 11 - 5 ),19,9,37,2 . 50 %,13,7,21,41
13,St Leo ( 10 - 5 ),18,6,19,2 . 50 %,14,5,14,33
14,Embry-Riddle ( 12 - 4 ),15,16,21,2 . 0 %,12,8,12,32
15,Kutztown ( 10 - 2 ),10,23,11,2 . 0 %,10,35,13,58
16,Lynn ( 11 - 3 ),16,21,14,2 . 0 %,11,15,9,35
17,Anderson (SC) ( 13 - 2 ),25,86,15,1 . 50 %,35,69,17,121
18,Dominican (NY) ( 12 - 2 ),29,91,16,1 . 50 %,38,86,18,142
19,East Stroudsburg ( 8 - 4 ),11,3,13,1 . 50 %,18,23,36,77
20,Florida Tech ( 7 - 9 ),27,7,67,1 . 50 %,30,3,55,88
21,Limestone ( 14 - 1 ),20,72,10,1 . 50 %,19,42,11,72
22,Seton Hill ( 8 - 4 ),28,46,42,1 . 50 %,29,43,38,110
23,Wingate ( 12 - 4 ),23,55,33,1 . 50 %,22,9,22,53
24,Bloomsburg ( 8 - 3 ),26,26,20,0 . 0 %,25,58,27,110
25,Mercy ( 6 - 8 ),21,12,45,0 . 0 %,36,4,59,99
26,Northern Michigan ( 11 - 3 ),31,42,23,0 . 0 %,15,60,23,98
27,Roberts Wesleyan ( 8 - 5 ),14,49,34,0 . 0 %,39,27,44,110
28,Assumption ( 7 - 5 ),13,4,40,0 . 0 %,28,31,40,99
29,New Haven ( 7 - 4 ),22,19,43,0 . 0 %,27,62,47,136
30,Southern Connecticut ( 8 - 5 ),50,68,56,0 . 0 %,58,77,60,195
31,St Anselm ( 8 - 5 ),24,22,39,0 . 0 %,43,51,48,142
32,Adams State ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
33,Alabama-Huntsville ( 10 - 6 ),32,44,38,0 . 0 %,32,6,20,58
34,Alderson Broaddus ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
35,American International ( 1 - 8 ),111,29,81,0 . 0 %,88,75,87,250
36,Ashland ( 11 - 6 ),61,76,51,0 . 0 %,40,20,46,106
37,Barton ( 6 - 10 ),86,83,103,0 . 0 %,71,36,98,205
38,Belmont Abbey ( 11 - 5 ),48,81,48,0 . 0 %,45,48,41,134
39,Bridgeport ( 9 - 3 ),85,102,41,0 . 0 %,53,91,39,183
40,Caldwell ( 2 - 6 ),114,99,82,0 . 0 %,99,101,78,278
41,Catawba ( 3 - 12 ),98,88,113,0 . 0 %,95,96,113,304
42,Charleston ( 8 - 6 ),88,98,58,0 . 0 %,64,87,61,212
43,Chestnut Hill ( 1 - 9 ),117,107,107,0 . 0 %,109,106,107,322
44,Chowan ( 6 - 6 ),103,93,75,0 . 0 %,78,99,71,248
45,Coker ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
46,Colorado Mesa ( 7 - 4 ),34,40,36,0 . 0 %,31,53,37,121
47,Colorado-Colorado Spring( 4 - 7 ),76,47,71,0 . 0 %,68,65,76,209
48,Concordia-St Paul ( 6 - 8 ),58,52,79,0 . 0 %,55,38,73,166
49,Converse ( 8 - 7 ),92,96,80,0 . 0 %,76,76,77,229
50,CSU-Pueblo ( 2 - 9 ),89,66,100,0 . 0 %,96,95,103,294
51,D'Youville ( 5 - 9 ),77,48,93,0 . 0 %,63,47,96,206
52,Daemen ( 5 - 9 ),93,82,97,0 . 0 %,84,83,99,266
53,Davenport ( 6 - 5 ),62,69,61,0 . 0 %,50,73,63,186
54,Davis & Elkins ( 9 - 4 ),95,111,52,0 . 0 %,81,105,53,239
55,District of Columbia ( 0 - 10 ),120,106,110,0 . 0 %,111,109,111,331
56,Dominican (CA) ( 3 - 6 ),81,59,72,0 . 0 %,92,97,74,263
57,Edinboro ( 2 - 10 ),106,84,111,0 . 0 %,93,80,110,283
58,Emmanuel (GA) ( 13 - 4 ),72,100,44,0 . 0 %,69,110,42,221
59,Emory & Henry ( 0 - 15 ),118,85,118,0 . 0 %,103,92,118,313
60,Erskine ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
61,Felician ( 2 - 9 ),115,108,106,0 . 0 %,108,107,106,321
62,Findlay ( 9 - 6 ),82,87,59,0 . 0 %,60,61,62,183
63,Fort Lewis ( 2 - 9 ),91,57,101,0 . 0 %,91,79,104,274
64,Franklin Pierce ( 4 - 8 ),54,17,73,0 . 0 %,74,66,86,226
65,Frostburg State ( 8 - 5 ),49,56,53,0 . 0 %,23,40,43,106
66,Gannon ( 4 - 8 ),78,58,89,0 . 0 %,82,72,92,246
67,Georgian Court ( 8 - 5 ),42,61,54,0 . 0 %,48,70,56,174
68,Holy Family ( 3 - 10 ),94,65,98,0 . 0 %,85,104,97,286
69,Indiana (PA) ( 5 - 7 ),44,51,84,0 . 0 %,72,74,79,225
70,Lake Erie ( 5 - 9 ),105,105,102,0 . 0 %,94,94,100,288
71,Lander ( 7 - 6 ),36,41,62,0 . 0 %,26,16,57,99
72,Lee ( 8 - 7 ),45,28,60,0 . 0 %,41,39,54,134
73,Lees-McRae ( 0 - 11 ),116,95,116,0 . 0 %,110,100,117,327
74,Lenoir-Rhyne ( 4 - 10 ),83,64,104,0 . 0 %,75,29,101,205
75,Lewis ( 8 - 8 ),60,63,86,0 . 0 %,65,71,89,225
76,Lincoln Memorial ( 5 - 9 ),75,54,90,0 . 0 %,66,32,90,188
77,Lock Haven ( 11 - 1 ),38,62,12,0 . 0 %,20,64,15,99
78,Malone ( 3 - 11 ),110,101,114,0 . 0 %,107,108,115,330
79,Mars Hill ( 3 - 11 ),112,89,115,0 . 0 %,102,93,116,311
80,McKendree ( 7 - 8 ),80,60,83,0 . 0 %,73,52,80,205
81,Mercyhurst ( 2 - 9 ),73,34,94,0 . 0 %,67,34,93,194
82,Millersville ( 3 - 8 ),51,15,76,0 . 0 %,56,46,81,183
83,Missouri Western State ( 8 - 6 ),39,37,49,0 . 0 %,34,24,49,107
84,Molloy ( 6 - 7 ),37,27,68,0 . 0 %,57,68,65,190
85,Montevallo ( 3 - 11 ),79,31,99,0 . 0 %,59,37,88,184
86,Mount Olive ( 13 - 3 ),30,73,22,0 . 0 %,21,17,19,57
87,Newberry ( 9 - 6 ),55,79,63,0 . 0 %,52,50,58,160
88,North Greenville ( 4 - 13 ),96,70,117,0 . 0 %,83,30,114,227
89,Northwood ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
90,Notre Dame (OH) ( 4 - 10 ),87,78,105,0 . 0 %,80,59,105,244
91,Nova Southeastern ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
92,Palm Beach Atlantic ( 3 - 11 ),52,14,95,0 . 0 %,61,11,83,155
93,Post ( 4 - 6 ),99,104,77,0 . 0 %,90,103,75,268
94,Quincy ( 7 - 9 ),47,36,85,0 . 0 %,44,49,84,177
95,Rockhurst ( 8 - 6 ),43,39,50,0 . 0 %,33,19,50,102
96,Saginaw Valley State ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
97,Shepherd ( 5 - 6 ),40,18,57,0 . 0 %,37,41,64,142
98,Shippensburg ( 2 - 10 ),74,13,91,0 . 0 %,62,25,95,182
99,Shorter ( 2 - 9 ),101,35,87,0 . 0 %,79,56,85,220
100,Slippery Rock ( 9 - 2 ),35,53,35,0 . 0 %,17,55,24,96
101,Southern New Hampshire ( 4 - 7 ),33,20,65,0 . 0 %,51,45,66,162
102,Southern Wesleyan ( 1 - 14 ),109,94,120,0 . 0 %,105,85,119,309
103,St Michaels ( 1 - 7 ),97,24,69,0 . 0 %,77,57,82,216
104,St Rose ( 2 - 6 ),84,50,64,0 . 0 %,87,89,70,246
105,St Thomas Aquinas ( 4 - 10 ),108,97,109,0 . 0 %,101,90,109,300
106,Thomas Jefferson ( 4 - 6 ),57,71,66,0 . 0 %,70,82,67,219
107,Thomas More ( 1 - 14 ),100,75,119,0 . 0 %,100,67,120,287
108,Tiffin ( 6 - 8 ),104,103,88,0 . 0 %,98,98,91,287
109,Trevecca Nazarene ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
110,Tusculum ( 5 - 10 ),90,80,108,0 . 0 %,86,63,108,257
111,Upper Iowa ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
112,Ursuline ( 0 - 11 ),119,92,96,0 . 0 %,106,88,102,296
113,UVA Wise ( 7 - 7 ),56,67,78,0 . 0 %,49,26,68,143
114,Virginia State ( 5 - 6 ),107,109,74,0 . 0 %,89,102,72,263
115,Walsh ( 9 - 5 ),41,77,46,0 . 0 %,47,54,51,152
116,West Virginia Wesleyan ( 5 - 9 ),113,110,92,0 . 0 %,104,111,94,309
117,Westminster (UT) ( 5 - 5 ),59,45,55,0 . 0 %,54,78,52,184
118,William Jewell ( 1 - 12 ),102,43,112,0 . 0 %,97,81,112,290
119,Wilmington (DE) ( 11 - 4 ),46,90,47,0 . 0 %,42,84,45,171
120,Young Harris ( 9 - 7 ),53,74,70,0 . 0 %,46,28,69,143
