Champ % Rank,Team,PR,SOS-PR,QWF-PR,Champ %,RPI,SOS-RPI,QWF-RPI,Selection
1,Harford ( 13 - 1 ),1,2,1,55 . 0 %,1,1,1,3
2,Essex ( 11 - 3 ),2,3,2,24 . 0 %,2,3,2,7
3,Onondaga ( 9 - 3 ),4,8,3,9 . 0 %,4,5,3,12
4,Nassau ( 8 - 2 ),3,5,4,7 . 0 %,3,7,5,15
5,Genesee ( 8 - 4 ),5,6,5,2 . 50 %,5,4,4,13
6,Howard (MD) ( 3 - 8 ),6,1,10,1 . 50 %,6,2,10,18
7,DuPage ( 4 - 4 ),7,7,8,0 . 0 %,7,6,8,21
8,Anne Arundel ( 4 - 7 ),8,4,9,0 . 0 %,9,8,9,26
9,Delaware Tech ( 3 - 9 ),10,9,11,0 . 0 %,11,10,11,32
10,Herkimer ( 7 - 6 ),9,14,7,0 . 0 %,8,11,6,25
11,Hudson Valley ( 7 - 5 ),11,16,6,0 . 0 %,10,13,7,30
12,Mercer County ( 1 - 10 ),13,10,14,0 . 0 %,12,9,16,37
13,Mohawk Valley ( 1 - 8 ),14,12,16,0 . 0 %,13,12,15,40
14,Monroe ( 2 - 6 ),12,15,12,0 . 0 %,14,15,12,41
15,Sussex County ( 1 - 8 ),15,11,15,0 . 0 %,16,16,14,46
16,Tompkins-Cortland ( 1 - 6 ),16,13,13,0 . 0 %,15,14,13,42
