Rank,Team,PR,SOS-PR,QWF-PR,Champion %,RPI,SOS-RPI,QWF-RPI,Selection
1,St. Thomas ( 14 - 3 ),1,3,1,20 . 0 %,2,2,3,7
2,Cal State San Marcos ( 17 - 2 ),2,38,2,12 . 0 %,3,19,1,23
3,Grand Valley State ( 10 - 4 ),7,6,11,9 . 50 %,6,9,10,25
4,Montana State ( 14 - 3 ),3,16,6,8 . 0 %,7,6,4,17
5,Montana ( 17 - 3 ),5,22,3,7 . 50 %,1,1,2,4
6,Air Force Academy ( 12 - 2 ),4,29,5,7 . 0 %,4,16,5,25
7,Kennesaw State ( 10 - 4 ),8,12,14,5 . 0 %,14,18,17,49
8,Missouri State ( 10 - 3 ),13,7,9,4 . 50 %,12,10,11,33
9,Dayton ( 13 - 5 ),6,5,4,4 . 0 %,11,3,6,20
10,Minn.-Duluth ( 5 - 8 ),12,1,27,3 . 50 %,19,7,38,64
11,UNC-Charlotte ( 11 - 3 ),14,21,8,3 . 50 %,9,20,8,37
12,Rhode Island ( 15 - 2 ),10,35,7,2 . 50 %,8,72,7,87
13,Florida Gulf Coast ( 10 - 2 ),9,10,10,2 . 0 %,10,24,13,47
14,Wake Forest ( 10 - 3 ),11,17,13,2 . 0 %,13,17,16,46
15,Florida Atlantic ( 6 - 7 ),15,4,42,1 . 50 %,24,12,49,85
16,UC San Diego ( 13 - 4 ),17,40,12,1 . 50 %,5,4,9,18
17,Coastal Carolina ( 8 - 4 ),18,30,25,0 . 0 %,29,52,30,111
18,Maine ( 6 - 3 ),31,43,18,0 . 0 %,22,67,18,107
19,Utah State ( 9 - 8 ),20,14,19,0 . 0 %,15,37,15,67
20,Western Washington ( 10 - 4 ),16,58,15,0 . 0 %,16,48,12,76
21,Baylor ( 11 - 5 ),24,52,16,0 . 0 %,25,60,14,99
22,Miami ( 5 - 6 ),23,18,35,0 . 0 %,41,39,41,121
23,North Dakota State ( 5 - 9 ),19,2,28,0 . 0 %,23,11,35,69
24,Northwest Nazarene ( 7 - 7 ),32,45,48,0 . 0 %,20,15,36,71
25,Appalachian State ( 3 - 5 ),35,19,44,0 . 0 %,40,50,46,136
26,Arizona Christian ( 4 - 2 ),73,77,34,0 . 0 %,55,57,28,140
27,Biola ( 1 - 10 ),80,76,77,0 . 0 %,78,65,77,220
28,Bridgewater State ( 4 - 10 ),45,28,61,0 . 0 %,49,66,65,180
29,Cal State Fullerton ( 0 - 14 ),79,70,81,0 . 0 %,77,53,81,211
30,Humboldt State ( 2 - 5 ),72,71,63,0 . 0 %,61,34,62,157
31,Cal State Long Beach ( 7 - 7 ),65,62,67,0 . 0 %,50,30,63,143
32,Central Conn. State ( 5 - 6 ),57,51,62,0 . 0 %,68,70,64,202
33,Central Washington ( 4 - 6 ),66,66,41,0 . 0 %,46,59,42,147
34,Charleston ( 0 - 5 ),74,25,64,0 . 0 %,76,55,66,197
35,Chico State ( 7 - 5 ),55,64,50,0 . 0 %,33,45,40,118
36,Citadel ( 3 - 6 ),28,15,46,0 . 0 %,34,46,53,133
37,Claremont ( 8 - 6 ),42,57,54,0 . 0 %,27,21,47,95
38,College of Idaho ( 6 - 7 ),21,33,37,0 . 0 %,17,28,31,76
39,Colorado Mines ( 4 - 7 ),48,20,59,0 . 0 %,42,25,58,125
40,Dallas Baptist ( 2 - 8 ),67,36,75,0 . 0 %,71,63,76,210
41,Davidson ( 3 - 3 ),33,48,38,0 . 0 %,56,61,37,154
42,Colorado Denver ( 2 - 8 ),49,26,51,0 . 0 %,48,29,48,125
43,Drury ( 1 - 8 ),46,13,68,0 . 0 %,60,26,68,154
44,East Texas Baptist ( 3 - 8 ),56,39,73,0 . 0 %,67,44,75,186
45,Elon ( 1 - 10 ),50,9,70,0 . 0 %,59,27,72,158
46,Florida Poly ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
47,Fort Lewis ( 9 - 6 ),44,67,55,0 . 0 %,62,76,54,192
48,Georgia Southern ( 4 - 6 ),26,11,36,0 . 0 %,30,49,43,122
49,Houston ( 3 - 6 ),62,55,31,0 . 0 %,44,8,32,84
50,Idaho ( 3 - 6 ),59,59,47,0 . 0 %,35,14,50,99
51,Iona ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
52,Loyola Marymount ( 6 - 7 ),58,49,56,0 . 0 %,36,33,52,121
53,MSU Denver ( 6 - 4 ),37,23,17,0 . 0 %,21,23,24,68
54,Multnomah ( 2 - 4 ),69,75,45,0 . 0 %,64,74,44,182
55,North Florida ( 3 - 7 ),30,24,52,0 . 0 %,57,73,59,189
56,North Texas ( 1 - 9 ),70,34,78,0 . 0 %,75,56,79,210
57,Northern Arizona ( 11 - 4 ),27,60,32,0 . 0 %,26,47,19,92
58,Pacific Lutheran ( 0 - 8 ),81,47,76,0 . 0 %,72,32,73,177
59,Point Loma Nazarene ( 2 - 6 ),76,61,65,0 . 0 %,54,38,60,152
60,Puget Sound ( 1 - 5 ),78,74,66,0 . 0 %,74,68,67,209
61,Rice ( 1 - 2 ),51,41,40,0 . 0 %,39,5,39,83
62,Saint Mary's ( 6 - 5 ),60,65,60,0 . 0 %,38,43,57,138
63,San Diego ( 9 - 4 ),43,69,29,0 . 0 %,32,22,25,79
64,San Jose State ( 5 - 7 ),63,73,71,0 . 0 %,58,62,70,190
65,Southern Conn. State ( 0 - 15 ),75,37,80,0 . 0 %,73,41,80,194
66,Southern Oregon ( 3 - 7 ),68,72,69,0 . 0 %,66,64,69,199
67,Southern Utah ( 4 - 6 ),61,54,49,0 . 0 %,52,36,51,139
68,St. John's ( 4 - 8 ),25,8,57,0 . 0 %,47,40,61,148
69,Stonehill ( 7 - 3 ),52,44,33,0 . 0 %,28,75,33,136
70,Texas A&M DII ( 5 - 8 ),47,42,74,0 . 0 %,65,58,74,197
71,Tulane ( 6 - 3 ),34,50,24,0 . 0 %,31,71,26,128
72,UC Davis ( 10 - 5 ),36,56,26,0 . 0 %,18,35,27,80
73,UC Irvine ( 2 - 12 ),77,63,79,0 . 0 %,70,42,78,190
74,UC Santa Cruz ( 3 - 6 ),64,68,58,0 . 0 %,53,51,55,159
75,UMass-Dartmouth ( 4 - 5 ),54,46,53,0 . 0 %,63,13,56,132
76,UNC-Wilmington ( 3 - 4 ),22,32,43,0 . 0 %,51,69,45,165
77,UNLV ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
78,UT-San Antonio ( 8 - 5 ),53,53,39,0 . 0 %,45,54,34,133
79,Washington (Mo.) ( 3 - 4 ),29,31,30,0 . 0 %,43,77,29,149
80,Western Oregon ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0
81,Wyoming ( 0 - 10 ),71,27,72,0 . 0 %,69,31,71,171
