Rank,School,Conference,Record,Road,Neutral,Home,Non Div I
1,Yale,Ivy League,11-1,4-1,0-0,7-0,0-0
2,Northwestern,Big Ten,12-2,4-2,0-0,8-0,0-0
3,Syracuse,ACC,12-3,5-1,0-0,7-2,0-0
4,Michigan,Big Ten,14-1,10-0,0-0,4-1,0-0
5,Maryland,Big Ten,11-4,8-0,0-0,3-4,0-0
6,Virginia,ACC,12-3,4-1,1-0,7-2,0-0
7,Penn,Ivy League,9-3,4-2,1-0,4-1,0-0
8,Johns Hopkins,Big Ten,10-5,4-2,1-0,5-3,0-0
9,Notre Dame,ACC,13-2,7-0,0-0,6-2,0-0
10,Loyola Maryland,Patriot,13-1,6-1,0-0,7-0,0-0
11,Stanford,Pac-12,9-3,3-3,0-0,6-0,0-0
12,Boston College,ACC,12-3,5-1,0-0,7-2,0-0
13,Princeton,Ivy League,8-4,4-3,0-0,4-1,0-0
14,Fairfield,MAAC,13-1,4-1,0-0,9-0,0-0
15,Stony Brook,CAA,13-2,5-0,0-1,8-1,0-0
16,Denver,Big East,11-3,3-2,0-0,8-1,0-0
17,James Madison,AAC,10-4,3-4,1-0,6-0,0-0
18,North Carolina,ACC,9-5,3-3,0-0,6-2,0-0
19,Florida,AAC,13-2,5-2,1-0,7-0,0-0
20,Brown,Ivy League,9-4,4-2,0-0,5-2,0-0
21,Drexel,CAA,10-4,5-3,0-0,5-1,0-0
22,Southern California,Pac-12,10-4,6-2,0-0,4-2,0-0
23,Penn St.,Big Ten,8-6,4-3,0-0,4-3,0-0
24,Holy Cross,Patriot,10-3,7-0,0-0,3-3,0-0
25,Clemson,ACC,9-6,5-2,0-0,4-4,0-0
26,Navy,Patriot,11-3,4-2,0-0,7-1,0-0
27,Colorado,Pac-12,10-4,6-2,0-0,4-2,0-0
28,Harvard,Ivy League,8-3,2-3,1-0,5-0,0-0
29,Temple,AAC,9-4,1-2,0-0,8-2,0-0
30,Massachusetts,Atlantic 10,9-4,5-2,0-0,4-2,0-0
31,Duke,ACC,10-6,3-3,0-0,7-3,0-0
32,Dartmouth,Ivy League,7-5,4-4,0-0,3-1,0-0
33,Rutgers,Big Ten,6-8,1-4,0-0,5-4,0-0
34,Niagara,MAAC,12-3,4-2,2-0,6-1,0-0
35,Siena,MAAC,11-4,3-2,0-0,8-2,0-0
36,Richmond,Atlantic 10,11-3,5-2,0-0,6-1,0-0
37,Coastal Carolina,ASUN,10-4,4-3,0-0,6-1,0-0
38,Virginia Tech,ACC,9-7,4-4,0-0,5-3,0-0
39,Cornell,Ivy League,7-6,3-2,1-1,3-3,0-0
40,Army West Point,Patriot,6-7,2-5,0-0,4-2,0-0
41,Bryant,America East,8-5,3-4,0-0,5-1,0-0
42,Saint Joseph's,Atlantic 10,8-6,3-4,0-0,5-2,0-0
43,UAlbany,America East,4-9,2-6,0-0,2-3,0-0
44,UConn,Big East,8-5,3-4,0-1,5-0,0-0
