rank,club,rating,link,class,season,gender,websource
--,214LAX DALLAS 2026 VOLT,--,,2026,2024,girls,insidelacrosse
--,315 Elite 2026 Green,--,,2026,2024,girls,insidelacrosse
--,Common Goal 2026,--,,2026,2024,girls,insidelacrosse
--,3d New England 2026,--,,2026,2024,girls,insidelacrosse
--,3d Virginia Metro 2026 Navy,--,,2026,2024,girls,insidelacrosse
--,3Point 2026,--,,2026,2024,girls,insidelacrosse
--,518 Excelerate 2026,--,,2026,2024,girls,insidelacrosse
--,518 Excelerate 2026 Blue,--,,2026,2024,girls,insidelacrosse
--,Aces Elite 2026,--,,2026,2024,girls,insidelacrosse
--,ADK Peak 2026,--,,2026,2024,girls,insidelacrosse
--,AFA 2026,--,,2026,2024,girls,insidelacrosse
--,All Lax Select 2026,--,,2026,2024,girls,insidelacrosse
--,AIM 2026,--,,2026,2024,girls,insidelacrosse
--,Alliance National 2026,--,,2026,2024,girls,insidelacrosse
--,Arc 2026,--,,2026,2024,girls,insidelacrosse
--,Atlanta Storm 2026 Blue,--,,2026,2024,girls,insidelacrosse
--,Atlanta Storm 2026 Orange,--,,2026,2024,girls,insidelacrosse
--,Atlantic County Wave 2026,--,,2026,2024,girls,insidelacrosse
--,Atlantic Shore 2026/2027,--,,2026,2024,girls,insidelacrosse
--,B12 Girls LAX 2026,--,,2026,2024,girls,insidelacrosse
--,Bay State Bullets 2026 Silver,--,,2026,2024,girls,insidelacrosse
--,BBL Elite 2026 Black,--,,2026,2024,girls,insidelacrosse
--,BBL North 2026,--,,2026,2024,girls,insidelacrosse
--,Beast 2026,--,,2026,2024,girls,insidelacrosse
--,Belles 2026 Elite,--,,2026,2024,girls,insidelacrosse
--,Belles 2026 Select,--,,2026,2024,girls,insidelacrosse
--,Big 4 HHH 2026,--,,2026,2024,girls,insidelacrosse
--,Big Fish 2026/2027,--,,2026,2024,girls,insidelacrosse
--,Black Lax 2026,--,,2026,2024,girls,insidelacrosse
--,Bluegrass Premier Select 2026,--,,2026,2024,girls,insidelacrosse
--,Capital 2026 Blue,--,,2026,2024,girls,insidelacrosse
--,Capital 2026 Orange,--,,2026,2024,girls,insidelacrosse
--,Cav Lax Elite 2026,--,,2026,2024,girls,insidelacrosse
--,CCLax 2026,--,,2026,2024,girls,insidelacrosse
--,CLC 2026 Bold,--,,2026,2024,girls,insidelacrosse
--,CLC 2026 Elite,--,,2026,2024,girls,insidelacrosse
--,CLC 2026 Pride,--,,2026,2024,girls,insidelacrosse
--,CLC 2026 Rise,--,,2026,2024,girls,insidelacrosse
--,Charlotte Style 2026,--,,2026,2024,girls,insidelacrosse
--,Check Hers 2026 Black,--,,2026,2024,girls,insidelacrosse
--,Check-Hers Elite 2026 Black,--,,2026,2024,girls,insidelacrosse
--,Coast 2026 Elite,--,,2026,2024,girls,insidelacrosse
--,Coastal Lacrosse Academy 2026,--,,2026,2024,girls,insidelacrosse
--,Coppermine 2026 Black,--,,2026,2024,girls,insidelacrosse
--,Coppermine North 2026,--,,2026,2024,girls,insidelacrosse
--,CT Grizzlies 2026 Navy,--,,2026,2024,girls,insidelacrosse
--,CT Grizzlies 2026 Yellow,--,,2026,2024,girls,insidelacrosse
--,CT Sharks 2026,--,,2026,2024,girls,insidelacrosse
--,Delco Elite 2026,--,,2026,2024,girls,insidelacrosse
--,Delco Select 2026,--,,2026,2024,girls,insidelacrosse
--,Denver Pride 2026,--,,2026,2024,girls,insidelacrosse
--,DEWLAX 2026 Black,--,,2026,2024,girls,insidelacrosse
--,DEWLAX 2026 Blue,--,,2026,2024,girls,insidelacrosse
--,DEWLAX 2026 NAVY,--,,2026,2024,girls,insidelacrosse
--,DEWLAX 26 CT,--,,2026,2024,girls,insidelacrosse
--,Dynamite 2026,--,,2026,2024,girls,insidelacrosse
--,Dynasty Elite 2026 Camo,--,,2026,2024,girls,insidelacrosse
--,Dynasty Elite 2026 Charlie,--,,2026,2024,girls,insidelacrosse
--,Eagle Stix 2026 Blue,--,,2026,2024,girls,insidelacrosse
--,Eagle Stix 2026 Grey,--,,2026,2024,girls,insidelacrosse
--,Eagle Stix 26 Pink,--,,2026,2024,girls,insidelacrosse
--,Empress 2026 Blue,--,,2026,2024,girls,insidelacrosse
--,FCA 2026 Blue,--,,2026,2024,girls,insidelacrosse
--,FCA MD 2026,--,,2026,2024,girls,insidelacrosse
--,FCA Upstate 2026,--,,2026,2024,girls,insidelacrosse
--,FLG 2026,--,,2026,2024,girls,insidelacrosse
--,FLG Blue Devils 2026-2027,--,,2026,2024,girls,insidelacrosse
--,Florida Select 2026,--,,2026,2024,girls,insidelacrosse
--,Florida Shine Elite 2026,--,,2026,2024,girls,insidelacrosse
--,Fusion Canada West 2026,--,,2026,2024,girls,insidelacrosse
--,GSE 2026,--,,2026,2024,girls,insidelacrosse
--,Gold Coast 2026 Black,--,,2026,2024,girls,insidelacrosse
--,Gold Coast 2026 Gold,--,,2026,2024,girls,insidelacrosse
--,Gold Coast 2026 White,--,,2026,2024,girls,insidelacrosse
--,Granite State Elite 2026,--,,2026,2024,girls,insidelacrosse
--,GRIT Austin 2026,--,,2026,2024,girls,insidelacrosse
--,GRIT Dallas 2026,--,,2026,2024,girls,insidelacrosse
--,GRIT Houston 2026,--,,2026,2024,girls,insidelacrosse
--,Hero's 2026 Green,--,,2026,2024,girls,insidelacrosse
--,Hero's 2026 White,--,,2026,2024,girls,insidelacrosse
--,HGR 2026,--,,2026,2024,girls,insidelacrosse
--,HoCo 2026 Black,--,,2026,2024,girls,insidelacrosse
--,HoCo 2026 Pink,--,,2026,2024,girls,insidelacrosse
--,House 2026,--,,2026,2024,girls,insidelacrosse
--,IL I.D. Glory,--,,2026,2024,girls,insidelacrosse
--,IL I.D. Hustle,--,,2026,2024,girls,insidelacrosse
--,IL I.D. Strength,--,,2026,2024,girls,insidelacrosse
--,IL I.D. Tenacity,--,,2026,2024,girls,insidelacrosse
