,Rank,Club,Rating,Link
0,--,3D Garden State '25-'26,--,
1,--,AIM 2026,--,
2,--,Atlanta Storm 2026 Blue,--,
3,--,Atlanta Storm 2026 Orange,--,
4,--,BBL North 2026,--,
5,--,Belles 2026,--,
6,--,Big 4 HHH 2026,--,
7,--,Cav Lax Elite 2026,--,
8,--,CLC 2026 Pride,--,
9,--,Check Hers 2026 Black,--,
10,--,CT Grizzlies 2026 Navy,--,
11,--,CT Grizzlies 2026 Yellow,--,
12,--,Dark Horse '25-'26,--,
13,--,DEWLAX 2026 Black,--,
14,--,DEWLAX 2026 ORANGE,--,
15,--,FCA Upstate '25-'26,--,
16,--,FLG 2026,--,
17,--,FLG Blue Devils 2026-2027,--,
18,--,Florida Shine Elite 2026,--,
19,--,Gold Coast 2026 Silver,--,
