index,Team,Record,RPI,Projections,1st,2nd,3rd,SOS,vs 1-5,vs 6-10,vs 11-20,vs 21+
1,Notre Dame,8-1,0.6955,,0.8889,0.6453,0.6024,14,1 - 0,3 - 0,2 - 1,2 - 0
2,Duke,11-3,0.6906,,0.7857,0.7138,0.5491,2,2 - 1,0 - 1,2 - 1,7 - 0
3,Johns Hopkins,9-3,0.6741,,0.7500,0.6781,0.5899,3,1 - 1,1 - 1,3 - 0,4 - 1
4,Denver,9-2,0.6668,,0.8182,0.6395,0.5700,11,1 - 1,1 - 1,3 - 0,4 - 0
5,Virginia,10-2,0.6614,,0.8333,0.6209,0.5706,7,0 - 2,1 - 0,3 - 0,6 - 0
6,Maryland,8-3,0.6518,,0.7273,0.6387,0.6025,5,0 - 2,2 - 0,2 - 1,4 - 0
7,Syracuse,10-4,0.6440,,0.7143,0.6486,0.5645,4,2 - 1,0 - 2,1 - 1,7 - 0
8,Yale,9-2,0.6330,,0.8182,0.5715,0.5708,15,1 - 0,0 - 2,4 - 0,4 - 0
9,Penn State,8-3,0.6300,,0.7273,0.6017,0.5895,9,0 - 1,2 - 1,3 - 1,3 - 0
10,Cornell,7-4,0.6234,,0.6364,0.6296,0.5979,5,0 - 2,2 - 1,2 - 1,3 - 0
11,Georgetown,8-3,0.6167,Projection,0.7273,0.5844,0.5705,18,1 - 2,0 - 0,1 - 0,6 - 1
12,Penn,8-4,0.6129,,0.6667,0.6096,0.5659,8,1 - 0,1 - 1,2 - 2,4 - 1
13,Saint Joseph's,8-3,0.5980,,0.7273,0.5714,0.5218,27,0 - 1,0 - 0,1 - 0,7 - 2
14,Army,9-2,0.5933,,0.8182,0.5203,0.5142,33,0 - 0,1 - 0,0 - 1,8 - 1
15,Ohio State,6-7,0.5882,,0.4615,0.6738,0.5436,1,0 - 4,0 - 3,0 - 0,6 - 0
16,Michigan,6-6,0.5792,,0.5000,0.6368,0.5432,11,0 - 3,1 - 1,0 - 1,5 - 1
17,Harvard,7-4,0.5768,,0.6364,0.5653,0.5403,25,0 - 1,0 - 1,1 - 2,6 - 0
18,Colgate,7-5,0.5697,,0.5833,0.5789,0.5376,17,0 - 0,1 - 2,1 - 1,5 - 2
19,Princeton,7-4,0.5646,,0.6364,0.5285,0.5650,23,0 - 1,0 - 2,1 - 0,6 - 1
