Champ % Rank,Team,PR,SOS-PR,QWF-PR,Champ %,RPI,SOS-RPI,QWF-RPI,Selection
1,Tufts ( 10 - 2 ),1,3,4,13 . 50 %,7,14,5,26
2,RIT ( 13 - 1 ),3,9,3,10 . 0 %,1,4,2,7
3,Bowdoin ( 9 - 2 ),4,8,11,8 . 0 %,18,67,23,108
4,Amherst ( 8 - 3 ),7,5,17,7 . 50 %,32,69,22,123
5,RPI ( 13 - 0 ),5,16,1,7 . 0 %,4,26,1,31
6,Salisbury ( 14 - 0 ),2,24,2,7 . 0 %,2,27,3,32
7,St Lawrence ( 12 - 1 ),6,15,5,6 . 50 %,3,28,4,35
8,Wesleyan ( 9 - 3 ),9,6,16,5 . 50 %,11,23,19,53
9,Babson ( 11 - 2 ),8,30,8,4 . 50 %,12,63,13,88
10,Dickinson ( 11 - 2 ),18,21,13,4 . 0 %,8,15,8,31
11,Stevens ( 11 - 2 ),16,46,10,3 . 0 %,26,46,9,81
12,Williams ( 6 - 6 ),17,1,25,3 . 0 %,24,3,51,78
13,Christopher Newport ( 9 - 4 ),12,10,18,2 . 50 %,6,2,14,22
14,Lynchburg ( 8 - 5 ),11,34,48,2 . 0 %,25,10,52,87
15,Middlebury ( 7 - 6 ),10,2,19,2 . 0 %,29,5,40,74
16,Swarthmore ( 11 - 1 ),13,27,9,2 . 0 %,9,44,6,59
17,Union ( 9 - 3 ),14,4,6,2 . 0 %,5,6,10,21
18,Washington & Lee ( 11 - 3 ),19,42,20,2 . 0 %,14,13,18,45
19,Endicott ( 12 - 1 ),15,45,7,1 . 50 %,17,77,7,101
20,Trinity ( 8 - 4 ),25,19,27,1 . 50 %,46,66,38,150
21,Gettysburg ( 8 - 5 ),20,11,38,0 . 0 %,23,19,48,90
22,Muhlenberg ( 7 - 7 ),34,18,103,0 . 0 %,43,9,84,136
23,Clarkson ( 6 - 7 ),43,35,107,0 . 0 %,61,18,89,168
24,Connecticut College ( 4 - 6 ),40,12,60,0 . 0 %,93,84,110,287
25,Cortland ( 8 - 3 ),26,39,33,0 . 0 %,19,48,30,97
26,Hamilton ( 6 - 6 ),22,7,34,0 . 0 %,71,51,76,198
27,Roanoke ( 12 - 2 ),24,68,15,0 . 0 %,13,29,12,54
28,Stevenson ( 8 - 5 ),23,26,49,0 . 0 %,38,24,36,98
29,Adrian ( 5 - 6 ),115,97,137,0 . 0 %,90,86,135,311
30,Albertus Magnus ( 3 - 9 ),202,210,217,0 . 0 %,224,212,217,653
31,Albion ( 5 - 9 ),110,81,202,0 . 0 %,107,53,190,350
32,Albright ( 5 - 7 ),145,132,156,0 . 0 %,185,179,154,518
33,Alfred ( 9 - 2 ),86,109,28,0 . 0 %,50,138,27,215
34,Allegheny ( 7 - 5 ),128,156,99,0 . 0 %,105,133,101,339
35,Alma ( 1 - 10 ),198,183,146,0 . 0 %,207,142,146,495
36,Alvernia ( 4 - 8 ),172,151,183,0 . 0 %,197,204,184,585
37,Anderson (IN) ( 5 - 8 ),227,236,179,0 . 0 %,221,228,180,629
38,Anna Maria ( 2 - 12 ),200,182,238,0 . 0 %,216,170,239,625
39,Arcadia ( 8 - 5 ),68,58,78,0 . 0 %,80,95,73,248
40,Augustana ( 3 - 7 ),199,161,170,0 . 0 %,159,145,155,459
41,Aurora ( 8 - 5 ),119,149,91,0 . 0 %,62,36,74,172
42,Averett ( 2 - 13 ),228,163,231,0 . 0 %,203,191,230,624
43,Baldwin Wallace ( 6 - 6 ),93,89,129,0 . 0 %,87,96,127,310
44,Bates ( 3 - 10 ),49,13,147,0 . 0 %,125,56,191,372
45,Beloit ( 2 - 8 ),221,218,194,0 . 0 %,215,209,197,621
46,Benedictine (IL) ( 4 - 8 ),168,162,184,0 . 0 %,149,89,171,409
47,Berry ( 7 - 7 ),107,74,115,0 . 0 %,65,21,112,198
48,Bethany ( 3 - 7 ),219,230,165,0 . 0 %,219,233,165,617
49,Birmingham Southern ( 9 - 4 ),81,119,59,0 . 0 %,64,92,56,212
50,Brevard ( 2 - 10 ),223,232,195,0 . 0 %,231,229,198,658
51,Bridgewater ( 4 - 10 ),123,80,225,0 . 0 %,137,37,218,392
52,Brockport ( 3 - 9 ),106,62,218,0 . 0 %,145,80,219,444
53,Bryn Athyn ( 2 - 5 ),224,231,122,0 . 0 %,222,234,121,577
54,Cabrini ( 11 - 3 ),28,60,31,0 . 0 %,39,73,29,141
55,Cairn ( 3 - 8 ),214,211,166,0 . 0 %,208,210,166,584
56,Calvin ( 9 - 4 ),112,136,43,0 . 0 %,47,103,45,195
57,Canton ( 6 - 4 ),184,206,73,0 . 0 %,184,216,75,475
58,Capital ( 5 - 8 ),113,129,180,0 . 0 %,135,99,181,415
59,Carroll ( 6 - 6 ),190,214,106,0 . 0 %,168,222,107,497
60,Carthage ( 6 - 7 ),116,121,148,0 . 0 %,86,54,136,276
61,Castleton ( 3 - 10 ),186,143,228,0 . 0 %,187,159,228,574
62,Catholic ( 7 - 7 ),78,53,130,0 . 0 %,72,42,128,242
63,Centenary (LA) ( 1 - 11 ),230,208,223,0 . 0 %,229,225,223,677
64,Centenary (NJ) ( 1 - 10 ),233,219,230,0 . 0 %,237,236,231,704
65,Centre ( 12 - 3 ),63,123,32,0 . 0 %,40,49,20,109
66,Chatham ( 7 - 6 ),136,154,123,0 . 0 %,136,141,122,399
67,Clark ( 4 - 9 ),109,56,185,0 . 0 %,164,163,185,512
68,Coast Guard ( 2 - 9 ),108,48,197,0 . 0 %,170,120,203,493
69,Cobleskill ( 1 - 7 ),226,233,173,0 . 0 %,232,232,174,638
70,Colby ( 5 - 7 ),33,23,70,0 . 0 %,94,71,115,280
71,Colorado College ( 7 - 4 ),59,103,74,0 . 0 %,52,60,61,173
72,Concordia-Chicago ( 0 - 9 ),235,204,226,0 . 0 %,226,198,226,650
73,Concordia-Wisconsin ( 8 - 4 ),146,184,63,0 . 0 %,85,109,58,252
74,Cornell College ( 5 - 7 ),205,215,160,0 . 0 %,191,184,162,537
75,Curry ( 3 - 11 ),133,90,232,0 . 0 %,179,114,232,525
76,Dean College ( 8 - 4 ),126,165,64,0 . 0 %,113,166,62,341
77,Delaware Valley ( 3 - 9 ),195,170,219,0 . 0 %,210,186,220,616
78,Delhi ( 9 - 3 ),163,224,44,0 . 0 %,154,221,46,421
79,Denison ( 9 - 5 ),32,54,55,0 . 0 %,35,47,57,139
80,DePauw ( 7 - 6 ),150,155,124,0 . 0 %,98,94,123,315
81,DeSales ( 7 - 5 ),73,66,75,0 . 0 %,92,91,79,262
82,Drew ( 7 - 7 ),122,110,142,0 . 0 %,127,122,141,390
83,Dubuque ( 7 - 5 ),130,166,100,0 . 0 %,103,119,94,316
84,Earlham ( 6 - 7 ),229,237,149,0 . 0 %,218,231,147,596
85,Eastern ( 4 - 9 ),57,33,196,0 . 0 %,102,35,199,336
86,Eastern Connecticut ( 4 - 9 ),142,112,211,0 . 0 %,153,102,211,466
87,Edgewood ( 5 - 9 ),189,194,203,0 . 0 %,175,128,204,507
88,Elizabethtown ( 7 - 5 ),62,51,82,0 . 0 %,73,108,80,261
89,Elmhurst ( 10 - 2 ),54,99,23,0 . 0 %,20,59,24,103
90,Elms ( 5 - 6 ),197,213,135,0 . 0 %,194,220,133,547
91,Emerson ( 6 - 8 ),77,49,161,0 . 0 %,122,101,156,379
92,Emmanuel (MA) ( 5 - 9 ),141,152,204,0 . 0 %,171,118,205,494
93,Farmingdale State ( 11 - 2 ),82,140,14,0 . 0 %,83,195,15,293
94,FDU-Florham ( 1 - 11 ),176,100,233,0 . 0 %,199,123,235,557
95,Franciscan ( 9 - 5 ),192,226,83,0 . 0 %,169,193,90,452
96,Franklin & Marshall ( 6 - 8 ),44,28,157,0 . 0 %,57,31,134,222
97,Geneseo ( 8 - 5 ),37,37,45,0 . 0 %,22,17,47,86
98,Gordon ( 4 - 7 ),149,102,150,0 . 0 %,124,100,157,381
99,Goucher ( 8 - 6 ),137,131,116,0 . 0 %,140,155,116,411
100,Greensboro ( 6 - 7 ),187,197,158,0 . 0 %,188,218,158,564
101,Grove City ( 10 - 4 ),27,67,26,0 . 0 %,21,16,17,54
102,Guilford ( 6 - 8 ),125,101,162,0 . 0 %,96,57,142,295
103,Gwynedd Mercy ( 5 - 7 ),144,145,159,0 . 0 %,183,177,159,519
104,Hampden-Sydney ( 10 - 4 ),41,63,51,0 . 0 %,27,12,33,72
105,Hanover ( 6 - 8 ),201,212,174,0 . 0 %,180,157,175,512
106,Hartford ( 4 - 6 ),88,76,108,0 . 0 %,74,45,102,221
107,Hartwick ( 3 - 7 ),121,75,167,0 . 0 %,163,150,167,480
108,Haverford ( 7 - 6 ),55,47,114,0 . 0 %,84,72,124,280
109,Heidelberg ( 4 - 10 ),222,222,212,0 . 0 %,206,208,212,626
110,Hendrix ( 5 - 9 ),148,135,205,0 . 0 %,162,110,206,478
111,Hilbert ( 2 - 5 ),218,238,101,0 . 0 %,228,238,103,569
112,Hiram ( 4 - 9 ),212,202,186,0 . 0 %,190,192,186,568
113,Hood ( 6 - 7 ),124,126,151,0 . 0 %,150,144,148,442
114,Hope ( 9 - 3 ),75,98,46,0 . 0 %,16,40,34,90
115,Huntingdon ( 3 - 11 ),206,187,229,0 . 0 %,204,175,229,608
116,Husson ( 4 - 8 ),204,221,187,0 . 0 %,209,211,187,607
117,Illinois Tech ( 6 - 5 ),165,176,109,0 . 0 %,101,126,108,335
118,Illinois Wesleyan ( 9 - 3 ),64,104,47,0 . 0 %,36,64,49,149
119,Immaculata ( 7 - 5 ),158,172,102,0 . 0 %,166,196,104,466
120,Ithaca ( 6 - 7 ),42,25,84,0 . 0 %,45,7,63,115
121,John Carroll ( 6 - 4 ),69,95,76,0 . 0 %,54,90,77,221
122,Johnson & Wales ( 8 - 4 ),161,188,65,0 . 0 %,132,173,64,369
123,Juniata ( 2 - 11 ),196,146,234,0 . 0 %,201,153,233,587
124,Kalamazoo ( 4 - 6 ),160,150,138,0 . 0 %,141,151,137,429
125,Kean ( 8 - 6 ),56,57,85,0 . 0 %,89,85,68,242
126,Keene State ( 4 - 5 ),83,77,110,0 . 0 %,118,136,105,359
127,Kenyon ( 8 - 5 ),58,52,86,0 . 0 %,41,52,78,171
128,Keuka ( 5 - 4 ),183,173,79,0 . 0 %,144,183,81,408
129,Keystone ( 6 - 7 ),203,216,152,0 . 0 %,196,206,149,551
130,Kings ( 1 - 9 ),175,122,222,0 . 0 %,198,188,224,610
131,La Roche ( 0 - 10 ),238,235,206,0 . 0 %,238,237,207,682
132,LaGrange ( 7 - 8 ),178,180,175,0 . 0 %,156,178,176,510
133,Lake Forest ( 12 - 1 ),118,192,12,0 . 0 %,53,148,11,212
134,Lasell ( 8 - 5 ),111,138,92,0 . 0 %,110,127,82,319
135,Lebanon Valley ( 6 - 7 ),120,115,153,0 . 0 %,138,134,150,422
136,Lycoming ( 3 - 7 ),171,113,168,0 . 0 %,165,154,168,487
137,Maine Maritime ( 5 - 4 ),152,148,80,0 . 0 %,181,223,83,487
138,Manhattanville ( 6 - 7 ),151,142,154,0 . 0 %,157,137,151,445
139,Marian (WI) ( 2 - 7 ),207,209,171,0 . 0 %,205,197,172,574
140,Marietta ( 7 - 6 ),170,177,125,0 . 0 %,131,146,125,402
141,Maritime ( 7 - 5 ),67,86,66,0 . 0 %,88,124,69,281
142,Mary Washington ( 7 - 6 ),50,44,111,0 . 0 %,58,34,91,183
143,Marymount ( 5 - 9 ),117,107,207,0 . 0 %,133,76,208,417
144,Marywood ( 3 - 9 ),185,167,220,0 . 0 %,211,187,221,619
145,Massachusetts Maritime ( 8 - 6 ),100,137,117,0 . 0 %,126,158,117,401
146,Massachusetts-Boston ( 10 - 4 ),80,83,52,0 . 0 %,78,106,53,237
147,McDaniel ( 6 - 7 ),92,64,140,0 . 0 %,123,132,138,393
148,MCLA ( 1 - 9 ),231,228,224,0 . 0 %,236,235,225,696
149,Merchant Marine ( 7 - 4 ),97,114,71,0 . 0 %,117,165,70,352
150,Messiah ( 10 - 3 ),61,70,35,0 . 0 %,56,129,39,224
151,Methodist ( 8 - 5 ),167,207,93,0 . 0 %,167,194,95,456
152,Misericordia ( 5 - 7 ),104,85,155,0 . 0 %,106,70,160,336
153,MIT ( 4 - 8 ),48,22,126,0 . 0 %,108,58,169,335
154,Mitchell ( 0 - 8 ),234,186,208,0 . 0 %,233,214,209,656
155,Montclair State ( 4 - 7 ),87,55,141,0 . 0 %,139,111,140,390
156,Moravian ( 8 - 6 ),127,125,118,0 . 0 %,99,107,118,324
157,Morrisville ( 4 - 7 ),155,130,163,0 . 0 %,143,131,163,437
158,Mount St Joseph ( 0 - 11 ),236,229,236,0 . 0 %,235,227,237,699
159,Mount St Mary (NY) ( 1 - 8 ),181,139,198,0 . 0 %,223,207,200,630
160,Mount St Vincent ( 5 - 5 ),188,191,113,0 . 0 %,158,189,111,458
161,Mount Union ( 6 - 8 ),182,200,176,0 . 0 %,173,168,177,518
162,MSOE ( 6 - 6 ),166,195,131,0 . 0 %,151,156,129,436
163,Muskingum ( 7 - 7 ),154,171,143,0 . 0 %,121,104,143,368
164,Nazareth ( 8 - 5 ),29,36,56,0 . 0 %,44,30,54,128
165,Neumann ( 8 - 5 ),157,178,94,0 . 0 %,174,203,96,473
166,New England College ( 3 - 9 ),174,160,221,0 . 0 %,200,180,222,602
167,New Paltz ( 4 - 7 ),132,120,164,0 . 0 %,130,97,164,391
168,Nichols ( 8 - 6 ),98,78,95,0 . 0 %,114,121,113,348
169,North Central ( 9 - 2 ),102,141,29,0 . 0 %,34,113,26,173
170,Northland ( 3 - 8 ),211,199,169,0 . 0 %,186,202,170,558
