Champ % Rank,Team,PR,SOS-PR,QWF-PR,Champ %,RPI,SOS-RPI,QWF-RPI,Selection
1,Reinhardt ( 11 - 0 ),1,13,2,32 . 0 %,2,14,2,18
2,Keiser ( 12 - 1 ),2,2,1,24 . 50 %,1,2,1,4
3,Webber International ( 12 - 2 ),3,6,3,15 . 50 %,3,21,3,27
4,Cumberlands ( 11 - 3 ),6,4,4,8 . 0 %,4,3,4,11
5,William Penn ( 14 - 1 ),4,25,5,6 . 50 %,8,17,5,30
6,Concordia-Ann Arbor ( 10 - 3 ),5,14,6,5 . 0 %,5,19,6,30
7,Indiana Tech ( 5 - 6 ),7,1,11,3 . 0 %,7,5,10,22
8,Aquinas ( 9 - 1 ),8,16,7,2 . 0 %,6,24,7,37
9,Madonna ( 8 - 5 ),9,9,9,1 . 50 %,10,13,9,32
10,Ottawa ( 6 - 6 ),15,20,13,0 . 0 %,13,8,13,34
11,SCAD ( 8 - 5 ),10,7,8,0 . 0 %,9,9,8,26
12,Siena Heights ( 5 - 7 ),14,10,12,0 . 0 %,11,10,12,33
13,Taylor ( 4 - 9 ),20,8,23,0 . 0 %,19,11,23,53
14,Benedictine (KS) ( 9 - 4 ),19,26,10,0 . 0 %,14,20,11,45
15,Clarke ( 4 - 7 ),26,29,24,0 . 0 %,27,29,24,80
16,Columbia (MO) ( 3 - 8 ),22,18,22,0 . 0 %,24,18,22,64
17,Lawrence Tech ( 3 - 6 ),17,5,16,0 . 0 %,12,6,14,32
18,Life University ( 4 - 6 ),12,11,17,0 . 0 %,16,4,15,35
19,Lourdes ( 4 - 6 ),21,21,21,0 . 0 %,22,23,21,66
20,Midland ( 1 - 11 ),27,23,29,0 . 0 %,28,27,29,84
21,Missouri Baptist ( 4 - 11 ),24,15,28,0 . 0 %,23,7,26,56
22,Missouri Valley ( 0 - 7 ),29,24,26,0 . 0 %,29,26,27,82
23,Montreat ( 1 - 13 ),25,17,25,0 . 0 %,25,1,25,51
24,Mount Vernon Nazarene ( 9 - 4 ),23,28,18,0 . 0 %,21,28,16,65
25,Point ( 5 - 9 ),11,27,19,0 . 0 %,17,12,18,47
26,St Ambrose ( 7 - 6 ),16,22,14,0 . 0 %,18,15,17,50
27,St Mary (KS) ( 2 - 10 ),28,19,27,0 . 0 %,26,16,28,70
28,Tennessee Wesleyan ( 4 - 9 ),13,3,15,0 . 0 %,15,25,19,59
29,UM-Dearborn ( 4 - 7 ),18,12,20,0 . 0 %,20,22,20,62
