Rank,Team,W,L,Rating,Link
1,Haverford School (PA),1,0,99.9,
2,St Paul's (MD),1,1,93.24,
3,St Stephen/St Agnes (VA),3,0,90.9,
4,St Johns DC (DC),3,0,90.56,
5,Landon (MD),1,2,89.9,
6,McDonogh (MD),2,0,89.59,
7,Archbishop Spalding (MD),1,1,89.24,
8,Bullis (MD),2,1,87.49,
9,Miramonte (CA),1,0,87.11,
10,Gonzaga (DC),1,1,86.36,
11,Calvert Hall (MD),3,0,86.0,
12,Boys' Latin (MD),1,1,85.13,
13,Penn Charter (PA),1,1,84.9,
14,Hun School (NJ),0,2,84.24,
15,Austin (TX),1,1,83.24,
16,Georgetown Prep (MD),2,1,83.23,
17,Westlake (TX),6,1,82.95,
18,Episcopal Dallas (TX),4,3,82.53,
19,Highland Park (TX),5,0,82.24,
20,St Mary's Annapolis (MD),0,1,81.89,
21,Cape Henry Collegiate (VA),1,1,81.24,
22,Saint Augustine (FL),2,0,81.11,
23,Torrey Pines (CA),3,0,81.07,
24,Loyola Blakefield (MD),3,0,81.0,
25,St Christopher's (VA),1,1,81.0,
26,Sacred Heart Prep (CA),2,0,80.94,
27,Saint Ignatius Prep (CA),3,0,80.49,
28,Dallas Jesuit (TX),4,0,80.46,
29,Maclay (FL),2,1,80.44,
30,Glenelg Country (MD),0,1,79.9,
31,Vandegrift (TX),10,0,79.64,
32,Coppell (TX),4,2,79.6,
33,St Marys Ryken (MD),0,1,79.56,
34,Hough (NC),3,0,79.45,
35,DeMatha (MD),1,1,79.39,
36,Lake Travis (TX),5,1,79.37,
37,San Ramon Valley (CA),0,1,79.15,
38,De LaSalle (CA),5,1,78.99,
39,Granite Bay (CA),1,1,78.89,
40,Norfolk Academy (VA),3,0,78.66,
41,Our Lady of Good Counsel (MD),0,1,78.66,
42,La Costa Canyon (CA),5,1,78.56,
43,Lassiter (GA),5,0,78.49,
44,Sacred Heart Cathedral (CA),3,1,78.44,
45,Monte Vista/Danville (CA),4,2,78.11,
46,Bishop O'Connell (VA),1,1,77.83,
47,Culver Academy Prep (IN),2,0,77.67,
48,Cardinal Gibbons (NC),2,1,77.66,
49,The Woodlands (TX),6,4,77.48,
50,Bellarmine Prep (CA),3,0,77.44,
51,California (CA),4,1,77.44,
52,Hoggard (NC),3,0,77.41,
53,Regents-Austin (TX),2,1,77.25,
54,Southlake (TX),2,3,77.1,
55,Gilman (MD),2,1,76.56,
56,Severn (MD),4,0,76.53,
57,Ridge Point (TX),5,1,76.46,
58,Menendez (FL),1,0,76.44,
59,IMG National (FL),0,2,76.34,
60,Middle Creek (NC),5,0,76.25,
61,Round Rock (TX),1,1,76.21,
62,North Cross (VA),1,0,76.01,
63,Lake Norman (NC),0,2,76.0,
64,Katy (TX),1,0,75.69,
65,Christ School (NC),4,0,75.53,
66,Cathedral Catholic (CA),3,1,75.5,
67,Hill Academy II (ON),2,1,75.44,
68,Kingwood (TX),2,3,75.42,
69,Tabor Academy (MA),2,0,75.31,
70,Lambert (GA),5,2,75.25,
71,IMG Academy (FL),5,1,75.2,
72,Catholic High School (VA),1,1,75.16,
73,University SF (CA),1,0,75.11,
74,Burlingame (CA),0,1,75.11,
75,Weddington (NC),0,1,75.11,
