Rank,Team,W,L,Rating,Link
1,Ridgewood (NJ),23,1,99.9,
2,McDonogh School (MD),21,0,99.84,
3,Oak Knoll School (NJ),20,2,99.74,
4,Georgetown Visitation (DC),18,5,98.72,
5,Eastport South Manor (NY),16,1,98.21,
6,Sts. Stephen's & Agnes (VA),25,2,98.2,
7,Episcopal Academy (PA),16,1,97.63,
8,Greenwich Academy (CT),13,2,97.49,
9,West Babylon (NY),13,2,97.47,
10,Bayport Blue Point (NY),16,2,97.4,
11,Manhasset (NY),15,3,97.33,
12,Summit (NJ),15,3,97.25,
13,American Heritage (FL),22,2,97.15,
14,Darien (CT),21,2,97.03,
15,Archbishop Spalding (MD),15,4,96.93,
16,Agnes Irwin (PA),21,8,96.9,
17,Northport (NY),16,1,96.81,
18,Mt. Sinai (NY),12,3,96.63,
19,Severna Park (MD),14,1,96.44,
20,Notre Dame Academy (PA),18,3,96.23,
21,Marriotts Ridge (MD),12,3,96.09,
22,Notre Dame Prep (MD),13,6,96.05,
23,Moorestown (NJ),17,4,96.02,
24,Bishop Ireton (VA),17,6,95.97,
25,Milton (GA),22,1,95.87,
26,Mendham (NJ),17,3,95.86,
27,Glenelg (MD),14,4,95.75,
28,Colorado Academy (CO),17,0,95.55,
29,Harriton (PA),24,2,95.53,
30,St. Paul's SG (MD),12,10,95.48,
31,Walpole (MA),4,0,95.34,
32,Hill Academy (CAN),1,3,95.29,
33,Garnet Valley (PA),14,3,95.2,
34,Hereford (MD),9,1,95.19,
35,Spencerport (NY),15,4,95.18,
36,Glenelg Country School (MD),13,5,95.18,
37,Conestoga (PA),15,3,95.17,
38,Glen Ridge (NJ),16,3,95.15,
39,Immaculate Heart (NJ),15,5,95.14,
40,Notre Dame - Hingham (MA),16,3,95.12,
41,St. Anthony's (NY),17,1,95.1,
42,Radnor (PA),18,6,95.07,
43,Cold Spring Harbor (NY),12,2,95.05,
44,Fayetteville Manlius (NY),16,4,95.03,
45,Pittsford (NY),5,2,94.99,
46,New Canaan (CT),18,5,94.91,
47,Chatham (NJ),11,5,94.9,
48,Lake Highland Prep (FL),23,2,94.86,
49,Eastern (NJ),18,4,94.85,
50,Bridgewater-Raritan (NJ),18,4,94.77,
51,Stone Ridge CDS (MD),9,5,94.73,
52,Baldwinsville (NY),19,2,94.7,
53,Century (MD),6,3,94.7,
54,St. Mark's (MA ),14,1,94.65,
55,Thayer Academy (MA ),13,3,94.61,
56,Needham (MA),4,3,94.6,
57,St. Mary's (MD),9,8,94.53,
58,Longmeadow (MA),3,3,94.47,
59,Garden City (NY),10,6,94.4,
60,Loyola Academy (IL),7,1,94.37,
61,Sacred Heart Greenwich (CT),18,1,94.35,
62,Roland Park Country (MD),12,7,94.34,
63,Westhampton Beach (NY),4,5,94.19,
64,Canandaigua Academy (NY),6,2,94.11,
65,Noble & Greenough (MA ),10,4,94.09,
66,Penfield (NY),2,2,93.9,
67,Holton-Arms School (MD),11,10,93.88,
68,Middle Country (NY),6,2,93.79,
69,Lawrenceville School (NJ),17,7,93.72,
70,Woburn Memorial (MA),1,0,93.68,
71,Norwell (MA),6,3,93.67,
72,Ward Melville (NY),8,1,93.66,
73,Westwood (MA),19,1,93.57,
74,Smithtown East (NY),6,3,93.54,
75,South River (MD),13,3,93.41,
76,Brooks School (MA ),11,3,93.31,
77,Riverhead (NY),8,4,93.3,
78,Bryn Mawr (MD),9,9,93.3,
79,Sherwood (MD),12,0,93.18,
80,Walter Johnson (MD),1,0,93.18,
81,Bernards (NJ),13,5,93.14,
82,John Carroll (MD),8,10,93.14,
83,Pingry School (NJ),19,4,93.07,
84,Mattituck-Southold (NY),15,5,93.07,
85,Rush Henrietta (NY),5,1,93.06,
86,Rumson Fair Haven (NJ),21,3,93.05,
87,Madison (NJ),16,4,93.05,
88,Mountain Lakes (NJ),12,4,92.96,
89,Ridgefield (CT),4,5,92.96,
90,Sacred Heart Academy Long Island (NY),13,6,92.91,
91,Owen J. Roberts (PA),16,5,92.89,
92,West Chester Rustin (PA),1,0,92.88,
93,Staples (CT),12,2,92.83,
94,Haddonfield (NJ),17,3,92.8,
95,South Carroll (MD),17,1,92.74,
96,Deerfield Academy (MA ),12,2,92.74,
97,West Islip (NY),11,7,92.73,
98,San Ramon Valley (CA),18,0,92.72,
