rank,team,w,l,rating,link,gender
1,Army Prep (NY),2,0,99.9,,boys
2,Brunswick School (CT),16,1,99.9,,boys
3,Calvert Hall (MD),16,3,99.63,,boys
4,Hill Academy (ON),13,4,99.44,,boys
5,Culver Academy Prep (IN),21,2,99.34,,boys
6,St Anthony's (NY),11,4,99.08,,boys
7,Ward Melville (NY),21,1,98.97,,boys
8,New Fairfield (CT),3,0,98.94,,boys
9,Salisbury School (CT),16,2,98.79,,boys
10,IMG National (FL),7,3,98.53,,boys
11,Boys' Latin (MD),14,5,98.38,,boys
12,McDonogh (MD),13,5,98.18,,boys
13,Delbarton (NJ),20,1,98.15,,boys
14,Chaminade (NY),13,3,98.12,,boys
15,Churchill (MD),2,1,98.09,,boys
16,Lincoln (OR),1,0,98.03,,boys
17,Lambert (GA),18,0,97.62,,boys
18,Yorktown (NY),14,4,97.21,,boys
19,Smithtown West (NY),15,1,97.14,,boys
20,Haverford School (PA),14,3,96.9,,boys
21,Gonzaga (DC),17,3,96.67,,boys
22,Darien (CT),22,1,96.64,,boys
23,Garden City (NY),18,3,96.62,,boys
24,Malvern Prep (PA),12,5,96.56,,boys
25,Summit (NJ),17,3,96.37,,boys
26,Noble & Greenough (MA),16,4,96.21,,boys
27,Loyola-Blakefield (MD),14,6,96.19,,boys
28,Seton Hall Prep (NJ),12,4,95.9,,boys
29,St Mary's Annapolis (MD),11,6,95.9,,boys
30,Victor (NY),20,2,95.83,,boys
31,Ridge (NJ),2,1,95.81,,boys
32,John Jay-Cross River (NY),15,5,95.75,,boys
33,Deerfield (MA),13,2,95.68,,boys
34,Brewster Academy (NH),6,2,95.67,,boys
35,Torrey Pines (CA),19,1,95.58,,boys
36,Bullis (MD),16,4,95.55,,boys
37,Severn (MD),8,7,95.54,,boys
38,La Salle Academy (RI),15,0,95.5,,boys
39,Islip (NY),15,1,95.44,,boys
40,Briar Woods (VA),2,0,95.4,,boys
41,Watchung Hills (NJ),5,1,95.39,,boys
