rank,team,w,l,rating,link,gender
1,Acalanes (CA),1,0,0.0,,girls
2,Albertus Magnus (NY),1,0,0.0,,girls
3,All Saints Academy (FL),1,0,0.0,,girls
4,Apex Friendship (NC),1,0,0.0,,girls
5,Ardsley (NY),1,0,0.0,,girls
6,Arizona College Prep (AZ),9,0,0.0,,girls
7,Asheville School (NC),1,0,0.0,,girls
8,Baldwin (NY),1,0,0.0,,girls
9,Bel Air (MD),1,0,0.0,,girls
10,Benilde-St. Margaret's (MN),2,0,0.0,,girls
11,Bishop England (SC),15,0,0.0,,girls
12,Bishop's School (CA),1,0,0.0,,girls
13,Blessed Trinity (GA),2,0,0.0,,girls
14,Brooklyn Technical (NY),9,0,0.0,,girls
15,Cape Henlopen (DE),9,0,0.0,,girls
16,Catawba Ridge (SC),1,0,0.0,,girls
17,Central Square (NY),3,0,0.0,,girls
18,Colorado Academy (CO),11,0,0.0,,girls
19,Commack (NY),1,0,0.0,,girls
20,Connetquot (NY),1,0,0.0,,girls
21,Creekview (GA),1,0,0.0,,girls
22,Dobbs Ferry (NY),1,0,0.0,,girls
23,Downingtown West (PA),1,0,0.0,,girls
24,E.A. Laney (NC),1,0,0.0,,girls
25,Fellowship Christian (GA),1,0,0.0,,girls
26,Fox Lane (NY),1,0,0.0,,girls
27,Fuquay-Varina (NC),1,0,0.0,,girls
28,Gerstell Academy (MD),3,0,0.0,,girls
29,Glenn (NC),1,0,0.0,,girls
30,Good Counsel (MD),16,0,0.0,,girls
31,Grand Rapids Catholic Central (MI),7,0,0.0,,girls
32,Green Hope (NC),1,0,0.0,,girls
33,H.B. Plant (FL),1,0,0.0,,girls
34,Harrison (NY),1,0,0.0,,girls
35,Hartland (MI),1,0,0.0,,girls
36,Hereford (MD),6,0,0.0,,girls
37,Heritage (NC),1,0,0.0,,girls
38,Hotchkiss School (CT),1,0,0.0,,girls
39,Indian Hill (OH),2,0,0.0,,girls
40,Indian River (NY),1,0,0.0,,girls
41,J.H. Rose (NC),1,0,0.0,,girls
42,King Philip Regional (MA),6,0,0.0,,girls
43,Lakeville South (MN),1,0,0.0,,girls
44,Langley (VA),1,0,0.0,,girls
45,Liverpool (NY),1,0,0.0,,girls
46,Manchester Valley (MD),7,0,0.0,,girls
47,Maret School (DC),1,0,0.0,,girls
48,Mater Dei (CA),1,0,0.0,,girls
49,Medfield (MA),1,0,0.0,,girls
50,Mepham (NY),1,0,0.0,,girls
51,Meridian (VA),1,0,0.0,,girls
52,MICDS (MO),1,0,0.0,,girls
53,Millbrook (NC),1,0,0.0,,girls
54,Miller Place (NY),1,0,0.0,,girls
55,Mira Costa (CA),1,0,0.0,,girls
56,Moses Brown School (RI),7,0,0.0,,girls
57,Mt. Lebanon (PA),1,0,0.0,,girls
58,Nanuet (NY),1,0,0.0,,girls
59,New Albany (OH),8,0,0.0,,girls
60,New Hanover (NC),1,0,0.0,,girls
61,North Davidson (NC),1,0,0.0,,girls
