Rank,Team,W,L,Rating,Link
1,Army Prep (NY),2,0,99.9,
2,Brunswick School (CT),16,1,99.9,
3,Calvert Hall (MD),16,3,99.63,
4,Hill Academy (ON),13,4,99.44,
5,Culver Academy Prep (IN),21,2,99.34,
6,St Anthony's (NY),11,4,99.08,
7,Ward Melville (NY),21,1,98.97,
8,New Fairfield (CT),3,0,98.94,
9,Salisbury School (CT),16,2,98.79,
10,IMG National (FL),7,3,98.53,
11,Boys' Latin (MD),14,5,98.38,
12,McDonogh (MD),13,5,98.18,
13,Delbarton (NJ),20,1,98.15,
14,Chaminade (NY),13,3,98.12,
15,Churchill (MD),2,1,98.09,
16,Lincoln (OR),1,0,98.03,
17,Lambert (GA),18,0,97.62,
18,Yorktown (NY),14,4,97.21,
19,Smithtown West (NY),15,1,97.14,
20,Haverford School (PA),14,3,96.9,
21,Gonzaga (DC),17,3,96.67,
22,Darien (CT),22,1,96.64,
23,Garden City (NY),18,3,96.62,
24,Malvern Prep (PA),12,5,96.56,
25,Summit (NJ),17,3,96.37,
26,Noble & Greenough (MA),16,4,96.21,
27,Loyola-Blakefield (MD),14,6,96.19,
28,Seton Hall Prep (NJ),12,4,95.9,
29,St Mary's Annapolis (MD),11,6,95.9,
30,Victor (NY),20,2,95.83,
31,Ridge (NJ),2,1,95.81,
32,John Jay-Cross River (NY),15,5,95.75,
33,Deerfield (MA),13,2,95.68,
34,Brewster Academy (NH),6,2,95.67,
35,Torrey Pines (CA),19,1,95.58,
36,Bullis (MD),16,4,95.55,
37,Severn (MD),8,7,95.54,
38,La Salle Academy (RI),15,0,95.5,
39,Islip (NY),15,1,95.44,
40,Briar Woods (VA),2,0,95.4,
41,Watchung Hills (NJ),5,1,95.39,
42,Belmont Hill (MA),6,3,95.37,
43,Landon (MD),12,6,95.37,
44,Mountain Lakes (NJ),8,4,95.36,
45,The Governor's Academy (MA),10,3,95.28,
46,Forest Hills Central (MI),10,0,95.22,
47,Conestoga (PA),18,6,95.18,
48,Taft School (CT),12,3,95.16,
49,Avon Old Farms (CT),13,7,95.05,
50,Cherokee (NJ),1,0,94.98,
51,Mount Sinai (NY),10,1,94.91,
52,Massapequa (NY),12,2,94.86,
53,Georgetown Prep (MD),9,9,94.77,
54,St Margarets Episcopal (CA),16,3,94.72,
55,Hingham (MA),22,2,94.68,
56,Manhasset (NY),12,6,94.68,
57,The Woodlands (TX),22,1,94.61,
58,Hill Academy II (ON),7,1,94.57,
59,Connetquot (NY),10,6,94.57,
60,New Canaan (CT),16,6,94.53,
61,St Sebastian (MA),17,3,94.49,
62,Moorestown (NJ),2,1,94.41,
63,Cincinnati St Xavier (OH),13,2,94.4,
64,Gilman (MD),7,8,94.4,
65,St Paul's (MD),8,10,94.39,
66,Boston College HS (MA),20,3,94.37,
67,Regis Jesuit (CO),14,1,94.34,
68,Highland Park (TX),15,4,94.34,
69,Phillips Exeter (NH),15,3,94.33,
70,Middle Creek (NC),18,0,94.32,
71,West Genesee (NY),18,3,94.31,
72,St Stephen/St Agnes (VA),13,8,94.3,
73,St Johns DC (DC),12,4,94.2,
74,Kingsway Regional (NJ),1,0,94.18,
75,Glenelg (MD),14,1,94.12,
76,Bishop Shanahan (PA),16,1,94.09,
77,Webster Thomas (NY),15,4,93.99,
78,Kent Denver (CO),11,3,93.98,
79,Paul VI (VA),16,4,93.95,
80,Half Hollow Hills East (NY),13,4,93.92,
81,Ridgefield (CT),15,6,93.85,
82,Pleasantville (NY),21,1,93.84,
83,John Champe (VA),1,0,93.82,
84,Stone Bridge (VA),2,0,93.82,
85,Chatham (NJ),14,7,93.82,
86,Avon Grove (PA),14,3,93.74,
87,DeMatha (MD),13,7,93.72,
88,Bishop Guertin (NH),20,1,93.7,
89,Severna Park (MD),17,2,93.7,
90,Oxbridge Academy (FL),16,3,93.65,
91,Norfolk Academy (VA),16,3,93.59,
92,Central Bucks East (PA),13,2,93.53,
93,North Gwinnett (GA),14,1,93.44,
94,Everest Academy (ON),6,4,93.43,
95,West Linn (OR),8,3,93.42,
96,Choate (CT),9,6,93.42,
97,Bishop Moore (FL),19,3,93.39,
98,Loyola-Los Angeles (CA),21,4,93.35,
99,New Hampton (NH),9,4,93.34,
100,Howard (MD),16,2,93.33,
101,Salesianum (DE),13,3,93.22,
102,Marriotts Ridge (MD),12,2,93.2,
103,Shawnee (NJ),1,1,93.2,
104,Columbine (CO),13,2,93.16,
105,Wilton (CT),13,7,93.16,
106,Jupiter (FL),20,2,93.15,
107,Springfield-Delco (PA),18,4,93.1,
108,Fordham Prep (NY),12,3,93.1,
109,IMG Academy (FL),11,2,93.09,
110,Westminster School (CT),8,7,93.09,
111,Manheim Township (PA),25,1,93.06,
112,Chanhassen (MN),6,1,92.99,
113,Lincoln-Sudbury (MA),11,7,92.96,
114,Palos Verdes (CA),18,4,92.9,
115,Episcopal Dallas (TX),13,4,92.85,
116,Saint Andrew's (FL),17,3,92.83,
117,Ponte Vedra (FL),13,6,92.83,
118,Pinkerton Academy (NH),19,2,92.82,
119,Loyola Academy (IL),22,3,92.79,
120,Hun School (NJ),9,2,92.78,
121,Cherry Creek (CO),12,3,92.78,
122,Centennial (GA),19,3,92.72,
123,Northern Highlands (NJ),6,1,92.72,
124,Portsmouth Abbey (RI),5,1,92.67,
125,Trinity-Pawling (NY),6,9,92.67,
126,Staples-Westport (CT),5,4,92.64,
127,Iona Prep (NY),14,5,92.63,
128,Minnetonka (MN),1,0,92.62,
129,Strath Haven (PA),14,3,92.62,
