Rank,Team,W,L,Rating,Link
1,Darien (CT),22,0,99.9,
2,McDonogh School (MD),21,1,98.65,
3,St. Paul's SG (MD),18,3,98.62,
4,Summit (NJ),20,2,97.98,
5,Episcopal Academy (PA),17,4,97.9,
6,New Canaan (CT),18,4,96.85,
7,Chatham (NJ),18,4,96.27,
8,Sacred Heart - Greenwich (CT),16,1,96.25,
9,Owen J. Roberts (PA),27,1,96.2,
10,Wilton (CT),15,4,95.99,
11,Archbishop Carroll (PA),23,1,95.89,
12,St. Anthony's (NY),15,2,95.87,
13,Maryvale Prep (MD),17,3,95.47,
14,Colorado Academy (CO),19,0,95.41,
15,Victor (NY),17,4,95.33,
16,Baldwinsville (NY),15,5,95.27,
17,Oak Knoll School (NJ),18,4,95.23,
18,Springfield Township (PA),19,2,95.16,
19,Archbishop Spalding (MD),13,4,95.15,
20,San Ramon Valley (CA),24,0,94.96,
21,Garden City (NY),17,4,94.96,
22,Agnes Irwin (PA),18,3,94.92,
23,Morristown (NJ),17,3,94.88,
24,Rush Henrietta (NY),16,2,94.3,
25,Glenelg Country School (MD),13,6,94.29,
